Security,I29068JP Index,
Start Date,1/31/2013 0:00,
End Date,5/21/2025 0:00,
Period,D,
,,
Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
5/21/2025,94.78,94.78
5/20/2025,95.04,95.04
5/19/2025,97.22,97.22
5/16/2025,97.58,97.58
5/15/2025,97.43,97.43
5/14/2025,98.27,98.27
5/13/2025,98.5,98.5
5/12/2025,97.21,97.21
5/9/2025,98.11,98.11
5/8/2025,98.56,98.56
5/7/2025,99,99
5/6/2025,100.66,100.66
5/5/2025,100.66,100.66
5/2/2025,100.66,100.66
5/1/2025,101.34,101.34
4/30/2025,101.4,101.4
4/29/2025,101.38,101.38
4/28/2025,101.38,101.38
4/25/2025,101.48,101.48
4/24/2025,101.81,101.81
4/23/2025,101.63,101.63
4/22/2025,100.67,100.67
4/21/2025,100.22,100.22
4/18/2025,101.12,101.12
4/17/2025,101.28,101.28
4/16/2025,100.89,100.89
4/15/2025,99.18,99.18
4/14/2025,98.83,98.83
4/11/2025,100.37,100.37
4/10/2025,101.25,101.25
4/9/2025,100.9,100.9
4/8/2025,105.33,105.33
4/7/2025,109.26,109.26
4/4/2025,108.51,108.51
4/3/2025,106.39,106.39
4/2/2025,104.8,104.8
4/1/2025,103.83,103.83
3/31/2025,104.16,104.16
3/28/2025,104.05,104.05
3/27/2025,103.02,103.02
3/26/2025,102.63,102.63
3/25/2025,102.58,102.58
3/24/2025,102.82,102.82
3/21/2025,102.9,102.9
3/20/2025,102.8,102.8
3/19/2025,102.8,102.8
3/18/2025,102.67,102.67
3/17/2025,102.36,102.36
3/14/2025,102.81,102.81
3/13/2025,102.91,102.91
3/12/2025,103,103
3/11/2025,102.78,102.78
3/10/2025,102.58,102.58
3/7/2025,103.66,103.66
3/6/2025,104.6,104.6
3/5/2025,106.32,106.32
3/4/2025,107,107
3/3/2025,107.2,107.2
2/28/2025,107.36,107.36
2/27/2025,107.41,107.41
2/26/2025,107.79,107.79
2/25/2025,107.73,107.73
2/24/2025,107.28,107.28
2/21/2025,107.28,107.28
2/20/2025,107.64,107.64
2/19/2025,107.28,107.28
2/18/2025,107.39,107.39
2/17/2025,108.05,108.05
2/14/2025,107.97,107.97
2/13/2025,108,108
2/12/2025,108.23,108.23
2/11/2025,108.36,108.36
2/10/2025,108.36,108.36
2/7/2025,108.62,108.62
2/6/2025,109.05,109.05
2/5/2025,107.71,107.71
2/4/2025,107.89,107.89
2/3/2025,108.39,108.39
1/31/2025,108.72,108.72
1/30/2025,109.21,109.21
1/29/2025,109.79,109.79
1/28/2025,109.44,109.44
1/27/2025,109.15,109.15
1/24/2025,109,109
1/23/2025,109.24,109.24
1/22/2025,109.31,109.31
1/21/2025,109.18,109.18
1/20/2025,108.95,108.95
1/17/2025,108.61,108.61
1/16/2025,107.97,107.97
1/15/2025,107.24,107.24
1/14/2025,107.73,107.73
1/13/2025,108.25,108.25
1/10/2025,108.25,108.25
1/9/2025,108.48,108.48
1/8/2025,108.56,108.56
1/7/2025,109.01,109.01
1/6/2025,109.12,109.12
1/3/2025,109.51,109.51
1/2/2025,109.51,109.51
12/31/2024,109.51,109.51
12/30/2024,109.51,109.51
12/27/2024,109.49,109.49
12/26/2024,110,110
12/25/2024,110.14,110.14
12/24/2024,109.97,109.97
12/23/2024,109.74,109.74
12/20/2024,109.89,109.89
12/19/2024,109.46,109.46
12/18/2024,109.59,109.59
12/17/2024,109.26,109.26
12/16/2024,109.55,109.55
12/13/2024,110.12,110.12
12/12/2024,110.12,110.12
12/11/2024,109.79,109.79
12/10/2024,109.66,109.66
12/9/2024,109.85,109.85
12/6/2024,109.57,109.57
12/5/2024,109.16,109.16
12/4/2024,109.34,109.34
12/3/2024,109.09,109.09
12/2/2024,109.2,109.2
11/29/2024,109.26,109.26
11/28/2024,108.88,108.88
11/27/2024,108.7,108.7
11/26/2024,109.02,109.02
11/25/2024,108.92,108.92
11/22/2024,108.89,108.89
11/21/2024,108.83,108.83
11/20/2024,108.9,108.9
11/19/2024,108.88,108.88
11/18/2024,108.72,108.72
11/15/2024,108.8,108.8
11/14/2024,108.69,108.69
11/13/2024,109.14,109.14
11/12/2024,109.51,109.51
11/11/2024,109.76,109.76
11/8/2024,109.79,109.79
11/7/2024,109.7,109.7
11/6/2024,110.19,110.19
11/5/2024,110.53,110.53
11/4/2024,110.48,110.48
11/1/2024,110.48,110.48
10/31/2024,110.51,110.51
10/30/2024,110.08,110.08
10/29/2024,110.32,110.32
10/28/2024,110.39,110.39
10/25/2024,110.91,110.91
10/24/2024,110.36,110.36
10/23/2024,110.18,110.18
10/22/2024,110.39,110.39
10/21/2024,111.09,111.09
10/18/2024,111.3,111.3
10/17/2024,111.43,111.43
10/16/2024,111.06,111.06
10/15/2024,110.85,110.85
10/14/2024,110.91,110.91
10/11/2024,110.91,110.91
10/10/2024,110.8,110.8
10/9/2024,111.48,111.48
10/8/2024,111.9,111.9
10/7/2024,111.93,111.93
10/4/2024,112.68,112.68
10/3/2024,112.62,112.62
10/2/2024,112.9,112.9
10/1/2024,112.64,112.64
9/30/2024,112.55,112.55
9/27/2024,112.47,112.47
9/26/2024,112.66,112.66
9/25/2024,113.23,113.23
9/24/2024,112.81,112.81
9/23/2024,112.4,112.4
9/20/2024,112.4,112.4
9/19/2024,112.88,112.88
9/18/2024,114.2,114.2
9/17/2024,114.24,114.24
9/16/2024,113.63,113.63
9/13/2024,113.63,113.63
9/12/2024,112.86,112.86
9/11/2024,112.85,112.85
9/10/2024,112.53,112.53
9/9/2024,112.91,112.91
9/6/2024,113.38,113.38
9/5/2024,112.75,112.75
9/4/2024,112.36,112.36
9/3/2024,111.86,111.86
9/2/2024,111.75,111.75
8/30/2024,112.15,112.15
8/29/2024,112.36,112.36
8/28/2024,112.75,112.75
8/27/2024,112.72,112.72
8/26/2024,112.37,112.37
8/23/2024,112.38,112.38
8/22/2024,112.45,112.45
8/21/2024,112.05,112.05
8/20/2024,111.7,111.7
8/19/2024,112.15,112.15
8/16/2024,112.74,112.74
8/15/2024,113.21,113.21
8/14/2024,113.09,113.09
8/13/2024,112.35,112.35
8/12/2024,112.29,112.29
8/9/2024,112.29,112.29
8/8/2024,111.89,111.89
8/7/2024,110.14,110.14
8/6/2024,111.8,111.8
8/5/2024,115.45,115.45
8/2/2024,111.75,111.75
8/1/2024,110.44,110.44
7/31/2024,109.75,109.75
7/30/2024,110.73,110.73
7/29/2024,110.65,110.65
7/26/2024,110.17,110.17
7/25/2024,109.62,109.62
7/24/2024,109.17,109.17
