Security,I29066JP Index,
Start Date,1/31/2013 0:00,
End Date,5/21/2025 0:00,
Period,D,
,,
Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
5/21/2025,101.8688,101.8688
5/20/2025,101.8075,101.8075
5/19/2025,101.9598,101.9598
5/16/2025,102.1401,102.1401
5/15/2025,101.9429,101.9429
5/14/2025,102.1663,102.1663
5/13/2025,102.1006,102.1006
5/12/2025,102.5436,102.5436
5/9/2025,102.7868,102.7868
5/8/2025,103.0015,103.0015
5/7/2025,103.1662,103.1662
5/6/2025,103.3722,103.3722
5/5/2025,103.3722,103.3722
5/2/2025,103.3722,103.3722
5/1/2025,103.3153,103.3153
4/30/2025,103.0107,103.0107
4/29/2025,102.9833,102.9833
4/28/2025,102.9833,102.9833
4/25/2025,102.8554,102.8554
4/24/2025,102.9904,102.9904
4/23/2025,102.8633,102.8633
4/22/2025,103.0324,103.0324
4/21/2025,103.2184,103.2184
4/18/2025,103.304,103.304
4/17/2025,103.1138,103.1138
4/16/2025,103.3013,103.3013
4/15/2025,102.75,102.75
4/14/2025,103.1721,103.1721
4/11/2025,102.9834,102.9834
4/10/2025,102.6119,102.6119
4/9/2025,103.3028,103.3028
4/8/2025,103.1932,103.1932
4/7/2025,104.1692,104.1692
4/4/2025,103.6402,103.6402
4/3/2025,102.2909,102.2909
4/2/2025,101.4678,101.4678
4/1/2025,101.2694,101.2694
3/31/2025,101.3012,101.3012
3/28/2025,100.9326,100.9326
3/27/2025,100.6646,100.6646
3/26/2025,100.6772,100.6772
3/25/2025,100.7407,100.7407
3/24/2025,100.9851,100.9851
3/21/2025,101.087,101.087
3/20/2025,101.1342,101.1342
3/19/2025,101.1342,101.1342
3/18/2025,101.2404,101.2404
3/17/2025,101.2079,101.2079
3/14/2025,101.0797,101.0797
3/13/2025,100.8914,100.8914
3/12/2025,101.0317,101.0317
3/11/2025,101.1895,101.1895
3/10/2025,100.7887,100.7887
3/7/2025,101.0589,101.0589
3/6/2025,101.0195,101.0195
3/5/2025,101.5313,101.5313
3/4/2025,101.6403,101.6403
3/3/2025,101.7976,101.7976
2/28/2025,101.9555,101.9555
2/27/2025,101.7994,101.7994
2/26/2025,101.9333,101.9333
2/25/2025,101.8625,101.8625
2/24/2025,101.5677,101.5677
2/21/2025,101.5677,101.5677
2/20/2025,101.4054,101.4054
2/19/2025,101.4209,101.4209
2/18/2025,101.4788,101.4788
2/17/2025,101.7567,101.7567
2/14/2025,101.9875,101.9875
2/13/2025,101.9913,101.9913
2/12/2025,102.074,102.074
2/11/2025,102.2073,102.2073
2/10/2025,102.2073,102.2073
2/7/2025,102.3309,102.3309
2/6/2025,102.5864,102.5864
2/5/2025,102.4842,102.4842
2/4/2025,102.596,102.596
2/3/2025,102.7793,102.7793
1/31/2025,102.7936,102.7936
1/30/2025,102.9603,102.9603
1/29/2025,103.079,103.079
1/28/2025,103.0344,103.0344
1/27/2025,102.8703,102.8703
1/24/2025,102.7698,102.7698
1/23/2025,102.9247,102.9247
1/22/2025,102.9738,102.9738
1/21/2025,103.0953,103.0953
1/20/2025,103.0427,103.0427
1/17/2025,102.992,102.992
1/16/2025,102.9803,102.9803
1/15/2025,102.6763,102.6763
1/14/2025,102.8104,102.8104
1/13/2025,103.0794,103.0794
1/10/2025,103.0794,103.0794
1/9/2025,103.1877,103.1877
1/8/2025,103.1848,103.1848
1/7/2025,103.4386,103.4386
1/6/2025,103.5339,103.5339
1/3/2025,103.6836,103.6836
1/2/2025,103.6836,103.6836
12/31/2024,103.6836,103.6836
12/30/2024,103.6836,103.6836
12/27/2024,103.6646,103.6646
12/26/2024,103.7512,103.7512
12/25/2024,103.9156,103.9156
12/24/2024,103.8914,103.8914
12/23/2024,103.9731,103.9731
12/20/2024,104.0594,104.0594
12/19/2024,103.8116,103.8116
12/18/2024,103.9393,103.9393
12/17/2024,103.8428,103.8428
12/16/2024,103.9622,103.9622
12/13/2024,104.1108,104.1108
12/12/2024,104.0031,104.0031
12/11/2024,103.9132,103.9132
12/10/2024,104.0052,104.0052
12/9/2024,104.1019,104.1019
12/6/2024,103.9789,103.9789
12/5/2024,103.8916,103.8916
12/4/2024,103.9763,103.9763
12/3/2024,103.8043,103.8043
12/2/2024,103.7936,103.7936
11/29/2024,103.954,103.954
11/28/2024,103.9297,103.9297
11/27/2024,103.7932,103.7932
11/26/2024,103.8842,103.8842
11/25/2024,103.7976,103.7976
11/22/2024,103.7155,103.7155
11/21/2024,103.6808,103.6808
11/20/2024,103.8349,103.8349
11/19/2024,103.8696,103.8696
11/18/2024,103.8301,103.8301
11/15/2024,103.8194,103.8194
11/14/2024,103.944,103.944
11/13/2024,104.1324,104.1324
11/12/2024,104.333,104.333
11/11/2024,104.4055,104.4055
11/8/2024,104.3567,104.3567
11/7/2024,104.3352,104.3352
11/6/2024,104.5583,104.5583
11/5/2024,104.834,104.834
11/4/2024,104.7553,104.7553
11/1/2024,104.7553,104.7553
10/31/2024,104.8151,104.8151
10/30/2024,104.6928,104.6928
10/29/2024,104.5782,104.5782
10/28/2024,104.6386,104.6386
10/25/2024,104.7326,104.7326
10/24/2024,104.6452,104.6452
10/23/2024,104.4869,104.4869
10/22/2024,104.4757,104.4757
10/21/2024,104.6661,104.6661
10/18/2024,104.5205,104.5205
10/17/2024,104.5975,104.5975
10/16/2024,104.6669,104.6669
10/15/2024,104.5617,104.5617
10/14/2024,104.6972,104.6972
10/11/2024,104.6972,104.6972
10/10/2024,104.6375,104.6375
10/9/2024,104.7938,104.7938
10/8/2024,104.8699,104.8699
10/7/2024,104.9311,104.9311
10/4/2024,105.2078,105.2078
10/3/2024,105.3561,105.3561
10/2/2024,105.4308,105.4308
10/1/2024,105.1727,105.1727
9/30/2024,105.2968,105.2968
9/27/2024,105.5374,105.5374
9/26/2024,105.3436,105.3436
9/25/2024,105.4221,105.4221
9/24/2024,105.4593,105.4593
9/23/2024,105.0526,105.0526
9/20/2024,105.0526,105.0526
9/19/2024,105.1766,105.1766
9/18/2024,105.3347,105.3347
9/17/2024,105.3125,105.3125
9/16/2024,105.1974,105.1974
9/13/2024,105.1974,105.1974
9/12/2024,105.0867,105.0867
9/11/2024,105.1786,105.1786
9/10/2024,104.8936,104.8936
9/9/2024,104.9849,104.9849
9/6/2024,105.1517,105.1517
9/5/2024,105.006,105.006
9/4/2024,104.9059,104.9059
9/3/2024,104.649,104.649
9/2/2024,104.7804,104.7804
8/30/2024,104.8767,104.8767
8/29/2024,104.8631,104.8631
8/28/2024,104.8422,104.8422
