Security,I38292JP Index,
Start Date,1/31/2013 0:00,
End Date,5/21/2025 0:00,
Period,D,
,,
Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
5/21/2025,100.4667,100.4667
5/20/2025,100.4596,100.4596
5/19/2025,101.0148,101.0148
5/16/2025,101.2005,101.2005
5/15/2025,101.0403,101.0403
5/14/2025,101.3384,101.3384
5/13/2025,101.3559,101.3559
5/12/2025,101.3594,101.3594
5/9/2025,101.6837,101.6837
5/8/2025,101.9209,101.9209
5/7/2025,102.1032,102.1032
5/6/2025,102.499,102.499
5/5/2025,102.499,102.499
5/2/2025,102.499,102.499
5/1/2025,102.5558,102.5558
4/30/2025,102.3696,102.3696
4/29/2025,102.3312,102.3312
4/28/2025,102.3312,102.3312
4/25/2025,102.2621,102.2621
4/24/2025,102.4154,102.4154
4/23/2025,102.2733,102.2733
4/22/2025,102.1879,102.1879
4/21/2025,102.161,102.161
4/18/2025,102.3857,102.3857
4/17/2025,102.2947,102.2947
4/16/2025,102.3314,102.3314
4/15/2025,101.6779,101.6779
4/14/2025,101.793,101.793
4/11/2025,102.0422,102.0422
4/10/2025,102.0677,102.0677
4/9/2025,102.4858,102.4858
4/8/2025,103.2602,103.2602
4/7/2025,104.6208,104.6208
4/4/2025,104.1534,104.1534
4/3/2025,102.8639,102.8639
4/2/2025,102.0306,102.0306
4/1/2025,101.7355,101.7355
3/31/2025,101.8035,101.8035
3/28/2025,101.5513,101.5513
3/27/2025,101.2195,101.2195
3/26/2025,101.179,101.179
3/25/2025,101.1762,101.1762
3/24/2025,101.3815,101.3815
3/21/2025,101.4611,101.4611
3/20/2025,101.4752,101.4752
3/19/2025,101.4752,101.4752
3/18/2025,101.5164,101.5164
3/17/2025,101.4224,101.4224
3/14/2025,101.4258,101.4258
3/13/2025,101.3478,101.3478
3/12/2025,101.4373,101.4373
3/11/2025,101.4541,101.4541
3/10/2025,101.1877,101.1877
3/7/2025,101.5648,101.5648
3/6/2025,101.7479,101.7479
3/5/2025,102.3601,102.3601
3/4/2025,102.5584,102.5584
3/3/2025,102.7141,102.7141
2/28/2025,102.8398,102.8398
2/27/2025,102.7408,102.7408
2/26/2025,102.8923,102.8923
2/25/2025,102.8199,102.8199
2/24/2025,102.5841,102.5841
2/21/2025,102.5841,102.5841
2/20/2025,102.5619,102.5619
2/19/2025,102.5021,102.5021
2/18/2025,102.548,102.548
2/17/2025,102.8594,102.8594
2/14/2025,102.9626,102.9626
2/13/2025,102.9678,102.9678
2/12/2025,103.0614,103.0614
2/11/2025,103.171,103.171
2/10/2025,103.171,103.171
2/7/2025,103.2978,103.2978
2/6/2025,103.5438,103.5438
2/5/2025,103.2377,103.2377
2/4/2025,103.3347,103.3347
2/3/2025,103.5392,103.5392
1/31/2025,103.6298,103.6298
1/30/2025,103.838,103.838
1/29/2025,104.0164,104.0164
1/28/2025,103.94,103.94
1/27/2025,103.791,103.791
1/24/2025,103.6943,103.6943
1/23/2025,103.8255,103.8255
1/22/2025,103.8771,103.8771
1/21/2025,103.9175,103.9175
1/20/2025,103.8546,103.8546
1/17/2025,103.7465,103.7465
1/16/2025,103.6081,103.6081
1/15/2025,103.276,103.276
1/14/2025,103.462,103.462
1/13/2025,103.7265,103.7265
1/10/2025,103.7265,103.7265
1/9/2025,103.8466,103.8466
1/8/2025,103.8426,103.8426
1/7/2025,104.0734,104.0734
1/6/2025,104.1561,104.1561
1/3/2025,104.3327,104.3327
1/2/2025,104.3327,104.3327
12/31/2024,104.3327,104.3327
12/30/2024,104.3327,104.3327
12/27/2024,104.3102,104.3102
12/26/2024,104.4493,104.4493
12/25/2024,104.5772,104.5772
12/24/2024,104.5298,104.5298
12/23/2024,104.5211,104.5211
12/20/2024,104.6103,104.6103
12/19/2024,104.3752,104.3752
12/18/2024,104.4685,104.4685
12/17/2024,104.3546,104.3546
12/16/2024,104.4776,104.4776
12/13/2024,104.672,104.672
12/12/2024,104.6008,104.6008
12/11/2024,104.4752,104.4752
12/10/2024,104.4996,104.4996
12/9/2024,104.6071,104.6071
12/6/2024,104.4806,104.4806
12/5/2024,104.3517,104.3517
12/4/2024,104.4363,104.4363
12/3/2024,104.281,104.281
12/2/2024,104.3132,104.3132
11/29/2024,104.4237,104.4237
11/28/2024,104.3369,104.3369
11/27/2024,104.2216,104.2216
11/26/2024,104.3308,104.3308
11/25/2024,104.256,104.256
11/22/2024,104.1931,104.1931
11/21/2024,104.1491,104.1491
11/20/2024,104.2779,104.2779
11/19/2024,104.2806,104.2806
11/18/2024,104.2221,104.2221
11/15/2024,104.2405,104.2405
11/14/2024,104.2922,104.2922
11/13/2024,104.4707,104.4707
11/12/2024,104.6735,104.6735
11/11/2024,104.7685,104.7685
11/8/2024,104.7492,104.7492
11/7/2024,104.7206,104.7206
11/6/2024,104.9547,104.9547
11/5/2024,105.1946,105.1946
11/4/2024,105.1491,105.1491
11/1/2024,105.1491,105.1491
10/31/2024,105.1966,105.1966
10/30/2024,105.0198,105.0198
10/29/2024,104.984,104.984
10/28/2024,105.0286,105.0286
10/25/2024,105.1809,105.1809
10/24/2024,105.036,105.036
10/23/2024,104.9143,104.9143
10/22/2024,104.9432,104.9432
10/21/2024,105.1654,105.1654
10/18/2024,105.1199,105.1199
10/17/2024,105.2,105.2
10/16/2024,105.1902,105.1902
10/15/2024,105.0869,105.0869
10/14/2024,105.1911,105.1911
10/11/2024,105.1911,105.1911
10/10/2024,105.1338,105.1338
10/9/2024,105.3292,105.3292
10/8/2024,105.4585,105.4585
10/7/2024,105.5065,105.5065
10/4/2024,105.8327,105.8327
10/3/2024,105.9027,105.9027
10/2/2024,105.9797,105.9797
10/1/2024,105.7636,105.7636
9/30/2024,105.8135,105.8135
9/27/2024,105.9642,105.9642
9/26/2024,105.8841,105.8841
9/25/2024,106.0363,106.0363
9/24/2024,105.9498,105.9498
9/23/2024,105.609,105.609
9/20/2024,105.609,105.609
9/19/2024,105.7377,105.7377
9/18/2024,106.0716,106.0716
9/17/2024,106.077,106.077
9/16/2024,105.9144,105.9144
9/13/2024,105.9144,105.9144
9/12/2024,105.709,105.709
9/11/2024,105.7558,105.7558
9/10/2024,105.5161,105.5161
9/9/2024,105.6402,105.6402
9/6/2024,105.8245,105.8245
9/5/2024,105.6369,105.6369
9/4/2024,105.5137,105.5137
9/3/2024,105.2736,105.2736
9/2/2024,105.336,105.336
8/30/2024,105.4663,105.4663
8/29/2024,105.4842,105.4842
8/28/2024,105.5418,105.5418
8/27/2024,105.6031,105.6031
