"Date","Price","Open","High","Low","Change %"
"06/05/2025","0.431","0.433","0.443","0.431","-2.71%"
"06/04/2025","0.443","0.437","0.443","0.435","1.37%"
"06/03/2025","0.437","0.437","0.437","0.428","0.23%"
"06/02/2025","0.436","0.437","0.437","0.426","1.16%"
"05/30/2025","0.431","0.435","0.437","0.431","4.36%"
"05/29/2025","0.413","0.411","0.412","0.411","0.49%"
"05/28/2025","0.411","0.411","0.411","0.399","0.74%"
"05/27/2025","0.408","0.398","0.408","0.398","1.75%"
"05/26/2025","0.401","0.392","0.402","0.392","-1.96%"
"05/23/2025","0.409","0.413","0.418","0.397","3.02%"
"05/22/2025","0.397","0.387","0.396","0.380","2.58%"
"05/21/2025","0.387","0.386","0.395","0.385","-1.78%"
"05/20/2025","0.394","0.395","0.395","0.385","-0.25%"
"05/19/2025","0.395","0.396","0.397","0.386","-1.74%"
"05/16/2025","0.402","0.390","0.402","0.390","-1.23%"
"05/15/2025","0.407","0.406","0.408","0.392","2.26%"
"05/14/2025","0.398","0.406","0.406","0.398","-3.16%"
"05/13/2025","0.411","0.402","0.412","0.402","0.24%"
"05/12/2025","0.410","0.412","0.413","0.402","-3.07%"
"05/09/2025","0.423","0.435","0.445","0.422","-2.53%"
"05/08/2025","0.434","0.434","0.437","0.433","-0.23%"
"05/07/2025","0.435","0.431","0.435","0.427","-0.91%"
"05/02/2025","0.439","0.436","0.438","0.435","3.29%"
"05/01/2025","0.425","0.411","0.429","0.401","4.42%"
"04/30/2025","0.407","0.411","0.411","0.405","-0.25%"
"04/28/2025","0.408","0.405","0.408","0.400","0.99%"
"04/25/2025","0.404","0.400","0.413","0.396","-0.25%"
"04/24/2025","0.405","0.406","0.407","0.402","1.25%"
"04/23/2025","0.400","0.396","0.410","0.396","-7.19%"
"04/22/2025","0.431","0.401","0.430","0.397","5.12%"
"04/21/2025","0.410","0.402","0.420","0.402","2.50%"
"04/18/2025","0.400","0.400","0.400","0.400","11.11%"
"04/17/2025","0.360","0.334","0.360","0.334","0.00%"
"04/16/2025","0.360","0.334","0.360","0.334","0.00%"
"04/15/2025","0.360","0.350","0.360","0.334","2.86%"
