Date,.TRXVUSGOV10U (TOT_RETURN)
20/6/2025,613.795
19/6/2025,613.476
18/6/2025,613.4
17/6/2025,613.093
16/6/2025,609.708
13/6/2025,611.738
12/6/2025,614.242
11/6/2025,611.343
10/6/2025,608.768
09/6/2025,607.721
06/6/2025,606.742
05/6/2025,611.792
04/6/2025,613.381
03/6/2025,608.608
02/6/2025,609.204
30/5/2025,611.789
29/5/2025,609.457
28/5/2025,607.137
27/5/2025,608.796
26/5/2025,605.689
23/5/2025,605.614
22/5/2025,603.998
21/5/2025,601.656
20/5/2025,606.323
19/5/2025,607.404
16/5/2025,608
15/5/2025,607.634
14/5/2025,603.67
13/5/2025,605.839
12/5/2025,606.528
09/5/2025,610.732
08/5/2025,610.135
07/5/2025,615.08
06/5/2025,613.5
05/5/2025,611.759
02/5/2025,613.164
01/5/2025,617.334
30/4/2025,620.15
29/4/2025,619.705
28/4/2025,617.407
25/4/2025,614.948
24/4/2025,612.292
23/4/2025,608.977
22/4/2025,607.976
21/4/2025,607.043
18/4/2025,610.948
17/4/2025,610.721
16/4/2025,613.144
15/4/2025,610.315
14/4/2025,608.573
11/4/2025,604.055
10/4/2025,606.882
09/4/2025,611.527
08/4/2025,612.932
07/4/2025,617.021
04/4/2025,625.461
03/4/2025,623.383
02/4/2025,616.828
01/4/2025,617.493
31/3/2025,615.381
28/3/2025,613.046
27/3/2025,607.739
26/3/2025,608.611
24/3/2025,609.036
21/3/2025,612.927
20/3/2025,613.563
19/3/2025,612.644
18/3/2025,610.875
17/3/2025,610.049
14/3/2025,609.412
13/3/2025,611.558
12/3/2025,609.034
11/3/2025,610.756
07/3/2025,608.822
06/3/2025,609.552
05/3/2025,610.047
04/3/2025,613.561
03/3/2025,615.849
28/2/2025,613.797
27/2/2025,610
26/2/2025,610.966
25/2/2025,609.009
24/2/2025,603.843
21/2/2025,602.452
20/2/2025,598.56
19/2/2025,597.074
18/2/2025,596.248
17/2/2025,599.573
14/2/2025,599.503
13/2/2025,596.837
12/2/2025,592.144
11/2/2025,596.507
10/2/2025,598.228
07/2/2025,598.629
06/2/2025,600.681
05/2/2025,601.176
