Security,USDJPY BGN Curncy
Start Date,1/1/1985 0:00
End Date,5/22/2025 0:00
Period,D
Pricing Source,BGN
,
Date,PX_LAST
5/22/2025,143.68
5/21/2025,143.68
5/20/2025,144.51
5/19/2025,144.86
5/16/2025,145.7
5/15/2025,145.67
5/14/2025,146.75
5/13/2025,147.48
5/12/2025,148.46
5/9/2025,145.37
5/8/2025,145.91
5/7/2025,143.83
5/6/2025,142.45
5/5/2025,143.7
5/2/2025,144.96
5/1/2025,145.39
4/30/2025,143.07
4/29/2025,142.33
4/28/2025,142.01
4/25/2025,143.67
4/24/2025,142.63
4/23/2025,143.45
4/22/2025,141.57
4/21/2025,140.86
4/18/2025,142.18
4/17/2025,142.43
4/16/2025,141.88
4/15/2025,143.21
4/14/2025,143.06
4/11/2025,143.54
4/10/2025,144.45
4/9/2025,147.76
4/8/2025,146.27
4/7/2025,147.84
4/4/2025,146.93
4/3/2025,146.06
4/2/2025,149.28
4/1/2025,149.61
3/31/2025,149.96
3/28/2025,149.84
3/27/2025,151.05
3/26/2025,150.57
3/25/2025,149.91
3/24/2025,150.7
3/21/2025,149.32
3/20/2025,148.78
3/19/2025,148.69
3/18/2025,149.27
3/17/2025,149.21
3/14/2025,148.64
3/13/2025,147.81
3/12/2025,148.25
3/11/2025,147.78
3/10/2025,147.27
3/7/2025,148.04
3/6/2025,147.98
3/5/2025,148.88
3/4/2025,149.79
3/3/2025,149.5
2/28/2025,150.63
2/27/2025,149.81
2/26/2025,149.1
2/25/2025,149.03
2/24/2025,149.72
2/21/2025,149.27
2/20/2025,149.64
2/19/2025,151.47
2/18/2025,152.06
2/17/2025,151.51
2/14/2025,152.31
2/13/2025,152.8
2/12/2025,154.42
2/11/2025,152.49
2/10/2025,152
2/7/2025,151.41
2/6/2025,151.41
2/5/2025,152.61
2/4/2025,154.34
2/3/2025,154.73
1/31/2025,155.19
1/30/2025,154.29
1/29/2025,155.22
1/28/2025,155.54
1/27/2025,154.51
1/24/2025,156
1/23/2025,156.05
1/22/2025,156.53
1/21/2025,155.52
1/20/2025,155.62
1/17/2025,156.3
1/16/2025,155.16
1/15/2025,156.47
1/14/2025,157.96
1/13/2025,157.48
1/10/2025,157.73
1/9/2025,158.14
1/8/2025,158.35
1/7/2025,158.05
1/6/2025,157.62
1/3/2025,157.26
1/2/2025,157.5
1/1/2025,157.24
12/31/2024,157.2
12/30/2024,156.84
12/27/2024,157.87
12/26/2024,157.99
12/25/2024,157.33
12/24/2024,157.19
12/23/2024,157.17
12/20/2024,156.31
12/19/2024,157.44
12/18/2024,154.8
12/17/2024,153.46
12/16/2024,154.15
12/13/2024,153.65
12/12/2024,152.63
12/11/2024,152.45
12/10/2024,151.95
12/9/2024,151.21
12/6/2024,150
12/5/2024,150.1
12/4/2024,150.59
12/3/2024,149.6
12/2/2024,149.6
11/29/2024,149.77
11/28/2024,151.55
11/27/2024,151.09
11/26/2024,153.08
11/25/2024,154.23
11/22/2024,154.78
11/21/2024,154.54
11/20/2024,155.44
11/19/2024,154.66
11/18/2024,154.66
11/15/2024,154.3
11/14/2024,156.27
11/13/2024,155.46
11/12/2024,154.61
11/11/2024,153.72
11/8/2024,152.64
11/7/2024,152.94
11/6/2024,154.63
11/5/2024,151.62
11/4/2024,152.13
11/1/2024,153.01
10/31/2024,152.03
10/30/2024,153.42
10/29/2024,153.36
10/28/2024,153.29
10/25/2024,152.31
10/24/2024,151.83
10/23/2024,152.76
10/22/2024,151.08
10/21/2024,150.84
10/18/2024,149.53
10/17/2024,150.21
10/16/2024,149.64
10/15/2024,149.2
10/14/2024,149.76
10/11/2024,149.13
10/10/2024,148.57
10/9/2024,149.31
10/8/2024,148.2
10/7/2024,148.18
10/4/2024,148.7
10/3/2024,146.93
10/2/2024,146.47
10/1/2024,143.57
9/30/2024,143.63
9/27/2024,142.21
9/26/2024,144.81
9/25/2024,144.75
9/24/2024,143.23
