Security,USSFCT10 BGN Curncy
Start Date,10/19/2020 0:00
End Date,7/22/2025 0:00
Period,D
Pricing Source,BGN
,
Date,PX_LAST
7/22/2025,-53.6166
7/21/2025,-54.11
7/18/2025,-54.875
7/17/2025,-55.25
7/16/2025,-56.125
7/15/2025,-56.1172
7/14/2025,-55.7685
7/11/2025,-55.76
7/10/2025,-54.9375
7/9/2025,-55
7/8/2025,-55.25
7/7/2025,-55.5
7/3/2025,-54.13
7/2/2025,-53.8944
7/1/2025,-53
6/30/2025,-54.25
6/27/2025,-55
6/26/2025,-55.24
6/25/2025,-55.25
6/24/2025,-55.25
6/23/2025,-54.5
6/20/2025,-54.0107
6/19/2025,-53.875
6/18/2025,-53.875
6/17/2025,-52.8778
6/16/2025,-53.4165
6/13/2025,-53.765
6/12/2025,-51.7771
6/11/2025,-51.8864
6/10/2025,-52.375
6/9/2025,-52.25
6/6/2025,-53
6/5/2025,-51.875
6/4/2025,-51.65
6/3/2025,-53
6/2/2025,-54.375
5/30/2025,-54.485
5/29/2025,-54.875
5/28/2025,-55.755
5/27/2025,-55.61
5/23/2025,-56.2639
5/22/2025,-55.125
5/21/2025,-57.4995
5/20/2025,-54.7265
5/19/2025,-53.8555
5/16/2025,-52.58
5/15/2025,-51.9958
5/14/2025,-52.5
5/13/2025,-52.375
5/12/2025,-51.625
5/9/2025,-53.155
5/8/2025,-53.5625
5/7/2025,-53.75
5/6/2025,-54.3456
5/5/2025,-53.75
5/2/2025,-54
5/1/2025,-52.875
4/30/2025,-53.0163
4/29/2025,-52.125
4/28/2025,-51.5
4/25/2025,-51.3398
4/24/2025,-51.2476
4/23/2025,-53.25
4/22/2025,-55.125
4/21/2025,-56.9455
4/17/2025,-53.25
4/16/2025,-52.375
4/15/2025,-52.375
4/14/2025,-51.875
4/11/2025,-56.045
4/10/2025,-56.245
4/9/2025,-52.8834
4/8/2025,-60.3265
4/7/2025,-52.8243
4/4/2025,-48.7613
4/3/2025,-47.0416
4/2/2025,-43.6306
4/1/2025,-43.86
3/31/2025,-44.6108
3/28/2025,-45.25
3/27/2025,-44.9384
3/26/2025,-45.3
3/25/2025,-43.7704
3/24/2025,-43.7352
3/21/2025,-43.375
3/20/2025,-42.5
3/19/2025,-41.125
3/18/2025,-41.4988
3/17/2025,-40.9115
3/14/2025,-41.375
3/13/2025,-42.25
3/12/2025,-43.134
3/11/2025,-44.2259
3/10/2025,-44.6577
3/7/2025,-43.4448
3/6/2025,-42.625
3/5/2025,-42.5
3/4/2025,-42.75
3/3/2025,-41.625
2/28/2025,-42
2/27/2025,-42.1684
2/26/2025,-41.5
2/25/2025,-41
2/24/2025,-39.75
2/21/2025,-39.6704
2/20/2025,-39.53
2/19/2025,-38.75
2/18/2025,-40.375
2/14/2025,-39.4375
2/13/2025,-37.75
2/12/2025,-38.8885
2/11/2025,-42.0257
2/10/2025,-42.4148
2/7/2025,-41.59
2/6/2025,-43.375
2/5/2025,-44.5
2/4/2025,-45.86
2/3/2025,-45.4922
1/31/2025,-45.6298
1/30/2025,-45.69
1/29/2025,-46.27
1/28/2025,-46.5
1/27/2025,-46.535
1/24/2025,-46.5
1/23/2025,-47.275
1/22/2025,-46.5364
1/21/2025,-45.36
1/17/2025,-45.5
1/16/2025,-45.75
1/15/2025,-46.5
1/14/2025,-47.125
1/13/2025,-47.8973
1/10/2025,-48.65
1/9/2025,-48.6336
1/8/2025,-48.375
1/7/2025,-48.6323
1/6/2025,-48.3626
1/3/2025,-50.4069
1/2/2025,-49.875
12/31/2024,-49.9
12/30/2024,-48.875
12/27/2024,-48.625
12/26/2024,-48.875
12/24/2024,-49
12/23/2024,-48.625
12/20/2024,-48.9013
12/19/2024,-49.4111
12/18/2024,-49.375
12/17/2024,-48.254
12/16/2024,-48.7589
12/13/2024,-49.375
12/12/2024,-48.7789
12/11/2024,-48.9845
