Security,LT01TRUU Index,
Start Date,1/31/1992 0:00,
End Date,5/21/2025 0:00,
Period,D,
,,
Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
5/21/2025,294.97,294.97
5/20/2025,295.13,295.13
5/19/2025,295.1,295.1
5/16/2025,294.88,294.88
5/15/2025,294.99,294.99
5/14/2025,294.49,294.49
5/13/2025,294.69,294.69
5/12/2025,294.72,294.72
5/9/2025,295.26,295.26
5/8/2025,295.17,295.17
5/7/2025,295.72,295.72
5/6/2025,295.67,295.67
5/5/2025,295.39,295.39
5/2/2025,295.36,295.36
5/1/2025,295.98,295.98
4/30/2025,296.51,296.51
4/29/2025,296.17,296.17
4/28/2025,295.96,295.96
4/25/2025,295.49,295.49
4/24/2025,295.3,295.3
4/23/2025,294.92,294.92
4/22/2025,295.15,295.15
4/21/2025,295.37,295.37
4/18/2025,295.13,295.13
4/17/2025,295.13,295.13
4/16/2025,295.17,295.17
4/15/2025,294.76,294.76
4/14/2025,294.7,294.7
4/11/2025,293.99,293.99
4/10/2025,294.54,294.54
4/9/2025,294.4,294.4
4/8/2025,295.17,295.17
4/7/2025,294.94,294.94
4/4/2025,295.37,295.37
4/3/2025,295.2,295.2
4/2/2025,294.08,294.08
4/1/2025,294.25,294.25
3/31/2025,294.11,294.11
3/28/2025,293.93,293.93
3/27/2025,293.44,293.44
3/26/2025,293.31,293.31
3/25/2025,293.39,293.39
3/24/2025,293.23,293.23
3/21/2025,293.6,293.6
3/20/2025,293.49,293.49
3/19/2025,293.34,293.34
3/18/2025,292.99,292.99
3/17/2025,292.9,292.9
3/14/2025,292.97,292.97
3/13/2025,293.3,293.3
3/12/2025,293.03,293.03
3/11/2025,293.26,293.26
3/10/2025,293.44,293.44
3/7/2025,292.84,292.84
3/6/2025,292.94,292.94
3/5/2025,292.74,292.74
3/4/2025,293.09,293.09
3/3/2025,293,293
2/28/2025,292.74,292.74
2/27/2025,292.32,292.32
2/26/2025,292.23,292.23
2/25/2025,292.08,292.08
2/24/2025,291.67,291.67
2/21/2025,291.46,291.46
2/20/2025,291.04,291.04
2/19/2025,290.97,290.97
2/18/2025,290.76,290.76
2/17/2025,290.89,290.89
2/14/2025,290.89,290.89
2/13/2025,290.56,290.56
2/12/2025,290.26,290.26
2/11/2025,290.62,290.62
2/10/2025,290.64,290.64
2/7/2025,290.51,290.51
2/6/2025,290.84,290.84
2/5/2025,290.95,290.95
2/4/2025,290.73,290.73
2/3/2025,290.51,290.51
1/31/2025,290.69,290.69
1/30/2025,290.62,290.62
1/29/2025,290.49,290.49
1/28/2025,290.61,290.61
1/27/2025,290.58,290.58
1/24/2025,290.13,290.13
1/23/2025,289.96,289.96
1/22/2025,289.9,289.9
1/21/2025,289.99,289.99
1/20/2025,289.84,289.84
1/17/2025,289.84,289.84
1/16/2025,289.95,289.95
1/15/2025,289.77,289.77
1/14/2025,289.2,289.2
1/13/2025,289.06,289.06
1/10/2025,289.05,289.05
1/9/2025,289.62,289.62
1/8/2025,289.54,289.54
1/7/2025,289.39,289.39
1/6/2025,289.52,289.52
1/3/2025,289.38,289.38
1/2/2025,289.47,289.47
12/31/2024,289.42,289.42
12/30/2024,289.36,289.36
12/27/2024,288.9,288.9
12/26/2024,288.84,288.84
12/25/2024,288.75,288.75
12/24/2024,288.75,288.75
12/23/2024,288.67,288.67
12/20/2024,288.75,288.75
12/19/2024,288.67,288.67
12/18/2024,288.5,288.5
12/17/2024,289.01,289.01
12/16/2024,288.98,288.98
12/13/2024,288.9,288.9
12/12/2024,289.09,289.09
12/11/2024,289.23,289.23
12/10/2024,289.25,289.25
12/9/2024,289.32,289.32
12/6/2024,289.39,289.39
12/5/2024,289.07,289.07
12/4/2024,289.13,289.13
12/3/2024,288.81,288.81
12/2/2024,288.77,288.77
11/29/2024,288.77,288.77
11/28/2024,288.43,288.43
11/27/2024,288.43,288.43
11/26/2024,288.21,288.21
11/25/2024,288.21,288.21
11/22/2024,287.61,287.61
11/21/2024,287.69,287.69
11/20/2024,287.8,287.8
11/19/2024,287.94,287.94
11/18/2024,287.88,287.88
11/15/2024,287.69,287.69
11/14/2024,287.44,287.44
11/13/2024,287.78,287.78
11/12/2024,287.4,287.4
11/11/2024,287.77,287.77
11/8/2024,287.77,287.77
11/7/2024,287.97,287.97
11/6/2024,287.52,287.52
11/5/2024,287.89,287.89
11/4/2024,288.01,288.01
11/1/2024,287.73,287.73
10/31/2024,287.94,287.94
10/30/2024,287.87,287.87
10/29/2024,288.11,288.11
10/28/2024,287.99,287.99
10/25/2024,288.06,288.06
10/24/2024,288.17,288.17
10/23/2024,288.08,288.08
10/22/2024,288.27,288.27
10/21/2024,288.31,288.31
10/18/2024,288.64,288.64
10/17/2024,288.46,288.46
10/16/2024,288.65,288.65
10/15/2024,288.51,288.51
10/14/2024,288.45,288.45
10/11/2024,288.45,288.45
10/10/2024,288.26,288.26
10/9/2024,288.01,288.01
10/8/2024,288.25,288.25
10/7/2024,288.1,288.1
10/4/2024,288.35,288.35
10/3/2024,289.45,289.45
10/2/2024,289.8,289.8
10/1/2024,289.9,289.9
9/30/2024,289.7,289.7
9/27/2024,290.06,290.06
9/26/2024,289.68,289.68
9/25/2024,289.95,289.95
9/24/2024,290.17,290.17
9/23/2024,289.89,289.89
9/20/2024,289.83,289.83
9/19/2024,289.74,289.74
9/18/2024,289.53,289.53
9/17/2024,289.64,289.64
9/16/2024,289.8,289.8
9/13/2024,289.58,289.58
9/12/2024,289.2,289.2
9/11/2024,289.22,289.22
9/10/2024,289.4,289.4
9/9/2024,288.98,288.98
9/6/2024,288.96,288.96
9/5/2024,288.46,288.46
9/4/2024,288.34,288.34
9/3/2024,287.73,287.73
9/2/2024,287.37,287.37
8/30/2024,287.37,287.37
8/29/2024,287.4,287.4
8/28/2024,287.5,287.5
8/27/2024,287.5,287.5
8/26/2024,287.3,287.3
8/23/2024,287.36,287.36
8/22/2024,286.82,286.82
8/21/2024,287.19,287.19
8/20/2024,286.82,286.82
8/19/2024,286.45,286.45
8/16/2024,286.42,286.42
8/15/2024,286.17,286.17
8/14/2024,286.84,286.84
8/13/2024,286.87,286.87
8/12/2024,286.48,286.48
8/9/2024,286.18,286.18
8/8/2024,286.19,286.19
8/7/2024,286.4,286.4
8/6/2024,286.4,286.4
8/5/2024,286.9,286.9
8/2/2024,286.89,286.89
8/1/2024,285.35,285.35
7/31/2024,284.8,284.8
7/30/2024,284.28,284.28
7/29/2024,284.11,284.11
7/26/2024,284.04,284.04
7/25/2024,283.7,283.7
7/24/2024,283.71,283.71
7/23/2024,283.56,283.56
7/22/2024,283.38,283.38
7/19/2024,283.37,283.37
7/18/2024,283.48,283.48
7/17/2024,283.62,283.62
7/16/2024,283.61,283.61
7/15/2024,283.47,283.47
7/12/2024,283.37,283.37
7/11/2024,283.03,283.03
7/10/2024,282.42,282.42
7/9/2024,282.38,282.38
7/8/2024,282.33,282.33
7/5/2024,282.34,282.34
7/4/2024,281.81,281.81
7/3/2024,281.81,281.81
7/2/2024,281.49,281.49
7/1/2024,281.3,281.3
6/28/2024,281.52,281.52
6/27/2024,281.45,281.45
6/26/2024,281.28,281.28
6/25/2024,281.53,281.53
6/24/2024,281.49,281.49
6/21/2024,281.42,281.42
6/20/2024,281.35,281.35
6/19/2024,281.41,281.41
6/18/2024,281.41,281.41
6/17/2024,281.07,281.07
6/14/2024,281.33,281.33
6/13/2024,281.26,281.26
6/12/2024,280.83,280.83
6/11/2024,280.49,280.49
6/10/2024,280.19,280.19
6/7/2024,280.11,280.11
6/6/2024,280.82,280.82
6/5/2024,280.78,280.78
6/4/2024,280.52,280.52
6/3/2024,280.2,280.2
5/31/2024,279.89,279.89
5/30/2024,279.54,279.54
5/29/2024,279.27,279.27
5/28/2024,279.36,279.36
5/27/2024,279.38,279.38
5/24/2024,279.38,279.38
5/23/2024,279.35,279.35
5/22/2024,279.6,279.6
5/21/2024,279.79,279.79
5/20/2024,279.66,279.66
5/17/2024,279.67,279.67
5/16/2024,279.76,279.76
5/15/2024,280.02,280.02
5/14/2024,279.54,279.54
5/13/2024,279.3,279.3
5/10/2024,279.2,279.2
5/9/2024,279.38,279.38
