Security,LUTLTRUU Index,
Start Date,1/31/73 0:00,
End Date,7/24/25 0:00,
Period,D,
,,
Date,PX_LAST,VOLATILITY_30D
7/24/25,3171.24,9.49
7/23/25,3175.25,9.92
7/22/25,3190.55,10.34
7/21/25,3173.79,10.29
7/18/25,3148.03,10.08
7/17/25,3141.69,10.07
7/16/25,3142.29,10.75
7/15/25,3137.57,10.73
7/14/25,3158.66,11.5
7/11/25,3163.05,11.5
7/10/25,3204.24,11.11
7/9/25,3201.73,11.13
7/8/25,3170.95,11.04
7/7/25,3175.28,11.13
7/4/25,3202.55,11.39
7/3/25,3202.55,11.39
7/2/25,3221.3,11.19
7/1/25,3240.78,10.98
6/30/25,3235.79,12.22
6/27/25,3206.05,12.16
6/26/25,3225.3,12.03
6/25/25,3211.06,11.98
6/24/25,3208.31,12.21
6/23/25,3188.2,12.24
6/20/25,3175.92,12.27
6/19/25,3179.87,12.56
6/18/25,3179.87,12.57
6/17/25,3176.42,12.95
6/16/25,3141.53,12.55
6/13/25,3167.51,12.35
6/12/25,3198.22,12.09
6/11/25,3163.81,11.96
6/10/25,3151.44,11.94
6/9/25,3138.14,11.94
6/6/25,3133.14,12.22
6/5/25,3172.37,11.88
6/4/25,3172.77,12.1
6/3/25,3125.29,11.53
6/2/25,3129.12,11.86
5/30/25,3156.89,11.67
5/29/25,3148.96,12.64
5/28/25,3122.73,12.35
5/27/25,3137.15,12.5
5/26/25,3096.47,11.94
5/23/25,3096.47,12.01
5/22/25,3089.98,12.29
5/21/25,3074.88,12.2
5/20/25,3124.72,13.03
5/19/25,3144.24,12.99
5/16/25,3153,14.01
5/15/25,3147.34,16.16
5/14/25,3120.85,16.18
5/13/25,3138.08,16.39
5/12/25,3151.06,16.38
5/9/25,3178.83,16.45
5/8/25,3174.43,16.67
5/7/25,3207.93,16.9
5/6/25,3194.68,16.87
5/5/25,3186,16.92
5/2/25,3201.56,16.87
5/1/25,3233.64,16.88
4/30/25,3250.21,16.88
4/29/25,3272.38,16.78
4/28/25,3247.35,16.66
4/25/25,3229.18,16.57
4/24/25,3206.26,16.47
4/23/25,3176.56,16.25
4/22/25,3148.57,16.2
4/21/25,3131.06,16.13
4/18/25,3182.09,15.57
4/17/25,3182.09,15.97
4/16/25,3208.39,15.82
4/15/25,3189.61,15.71
4/14/25,3179.09,15.8
4/11/25,3152.64,15.76
4/10/25,3147.05,15.86
4/9/25,3217.97,14.95
4/8/25,3207.48,14.96
4/7/25,3266.76,14.06
4/4/25,3360.81,11.81
4/3/25,3331.45,11.6
4/2/25,3307.34,11.83
4/1/25,3310.57,11.82
3/31/25,3285.97,11.67
3/28/25,3259.09,11.96
3/27/25,3217.05,11.32
3/26/25,3226.84,11.4
3/25/25,3245.51,11.98
3/24/25,3241.94,12.68
3/21/25,3274.85,12.41
3/20/25,3291.99,12.31
3/19/25,3286.36,12.48
3/18/25,3272.11,12.43
3/17/25,3266.98,13.14
3/14/25,3253.03,13.11
3/13/25,3270.36,13.05
3/12/25,3243.97,12.99
3/11/25,3262.35,12.86
3/10/25,3285,12.65
3/7/25,3249.89,12.33
3/6/25,3261.37,12.71
3/5/25,3270.35,12.66
3/4/25,3297,12.57
3/3/25,3332.68,12.1
2/28/25,3315.47,12.22
2/27/25,3280.31,11.94
2/26/25,3297.21,11.75
2/25/25,3280,11.72
2/24/25,3230.16,11.83
2/21/25,3220.73,11.87
2/20/25,3185.84,11.56
2/19/25,3175.38,11.75
2/18/25,3172.23,11.77
2/17/25,3205.25,11.23
2/14/25,3205.25,11.73
2/13/25,3187,11.71
2/12/25,3141.18,10.94
2/11/25,3181.67,10.2
2/10/25,3200.55,10.04
2/7/25,3208.07,10.26
2/6/25,3227.45,10.36
2/5/25,3226.77,10.36
2/4/25,3179.49,9.43
2/3/25,3170.74,9.43
1/31/25,3152.29,9.57
1/30/25,3167.19,9.53
1/29/25,3154.7,10.11
1/28/25,3159.23,10.69
1/27/25,3164.64,10.71
1/24/25,3125.8,9.97
1/23/25,3114.29,10.17
1/22/25,3135.27,10.4
1/21/25,3148.49,10.6
1/20/25,3122.37,10.16
1/17/25,3122.37,10.27
1/16/25,3119.79,10.29
1/15/25,3107.95,10.19
1/14/25,3057.71,9.22
1/13/25,3062.03,9.34
1/10/25,3066.83,9.49
1/9/25,3085.68,9.95
1/8/25,3089.18,9.97
1/7/25,3085.7,10.25
1/6/25,3116.72,9.95
1/3/25,3127.94,12.39
1/2/25,3138.01,12.37
12/31/24,3139.22,12.38
