Security,LD20TRUU Index,
Start Date,12/31/1991 0:00,
End Date,5/21/2025 0:00,
Period,D,
,,
Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
5/21/2025,240.99,240.99
5/20/2025,240.97,240.97
5/19/2025,240.94,240.94
5/16/2025,240.91,240.91
5/15/2025,240.83,240.83
5/14/2025,240.79,240.79
5/13/2025,240.76,240.76
5/12/2025,240.74,240.74
5/9/2025,240.73,240.73
5/8/2025,240.65,240.65
5/7/2025,240.63,240.63
5/6/2025,240.6,240.6
5/5/2025,240.57,240.57
5/2/2025,240.54,240.54
5/1/2025,240.48,240.48
4/30/2025,240.46,240.46
4/29/2025,240.43,240.43
4/28/2025,240.4,240.4
4/25/2025,240.37,240.37
4/24/2025,240.29,240.29
4/23/2025,240.25,240.25
4/22/2025,240.23,240.23
4/21/2025,240.2,240.2
4/18/2025,240.17,240.17
4/17/2025,240.17,240.17
4/16/2025,240.06,240.06
4/15/2025,240.03,240.03
4/14/2025,240,240
4/11/2025,239.97,239.97
4/10/2025,239.9,239.9
4/9/2025,239.86,239.86
4/8/2025,239.87,239.87
4/7/2025,239.84,239.84
4/4/2025,239.83,239.83
4/3/2025,239.72,239.72
4/2/2025,239.67,239.67
4/1/2025,239.65,239.65
3/31/2025,239.62,239.62
3/28/2025,239.59,239.59
3/27/2025,239.5,239.5
3/26/2025,239.48,239.48
3/25/2025,239.45,239.45
3/24/2025,239.42,239.42
3/21/2025,239.4,239.4
3/20/2025,239.32,239.32
3/19/2025,239.28,239.28
3/18/2025,239.25,239.25
3/17/2025,239.22,239.22
3/14/2025,239.2,239.2
3/13/2025,239.12,239.12
3/12/2025,239.09,239.09
3/11/2025,239.07,239.07
3/10/2025,239.04,239.04
3/7/2025,239.01,239.01
3/6/2025,238.93,238.93
3/5/2025,238.89,238.89
3/4/2025,238.87,238.87
3/3/2025,238.84,238.84
2/28/2025,238.8,238.8
2/27/2025,238.72,238.72
2/26/2025,238.69,238.69
2/25/2025,238.66,238.66
2/24/2025,238.63,238.63
2/21/2025,238.6,238.6
2/20/2025,238.51,238.51
2/19/2025,238.48,238.48
2/18/2025,238.45,238.45
2/17/2025,238.42,238.42
2/14/2025,238.42,238.42
2/13/2025,238.3,238.3
2/12/2025,238.27,238.27
2/11/2025,238.25,238.25
2/10/2025,238.22,238.22
2/7/2025,238.2,238.2
2/6/2025,238.13,238.13
2/5/2025,238.1,238.1
2/4/2025,238.07,238.07
2/3/2025,238.04,238.04
