Security,IBOXHY Index,
Start Date,12/31/1998 0:00,
End Date,7/24/2025 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,VOLATILITY_30D
7/24/2025,380.8846,1.86
7/23/2025,380.9932,1.99
7/22/2025,380.8223,2
7/21/2025,380.4153,2.03
7/18/2025,379.6129,1.98
7/17/2025,379.2862,1.98
7/16/2025,378.6722,1.96
7/15/2025,378.5767,1.97
7/14/2025,379.0265,1.94
7/11/2025,378.7901,1.98
7/10/2025,379.482,1.85
7/9/2025,379.3734,1.88
7/8/2025,378.9572,1.92
7/7/2025,379.3037,1.87
7/4/2025,379.7866,2.21
7/3/2025,379.7586,2.2
7/2/2025,379.5779,2.31
7/1/2025,379.332,2.33
6/30/2025,379.1661,2.68
6/27/2025,378.3584,2.64
6/26/2025,378.0709,2.66
6/25/2025,377.4779,2.64
6/24/2025,377.0584,2.67
6/23/2025,375.8807,2.67
6/20/2025,375.0787,2.68
6/19/2025,374.702,3.36
6/18/2025,374.6345,3.37
6/17/2025,374.2493,3.41
6/16/2025,374.6338,3.38
6/13/2025,373.8971,3.36
6/12/2025,374.5749,3.29
6/11/2025,374.6308,3.3
6/10/2025,373.9442,3.36
6/9/2025,373.5777,3.53
6/6/2025,373.5654,3.53
6/5/2025,373.6382,3.52
6/4/2025,373.6651,3.55
6/3/2025,372.9994,3.55
6/2/2025,372.2738,4
5/30/2025,372.2727,4.13
5/29/2025,372.4525,4.41
5/28/2025,371.7096,4.4
5/27/2025,371.753,4.5
5/26/2025,369.8167,4.32
5/23/2025,369.6139,4.33
5/22/2025,370.1398,4.72
5/21/2025,370.2187,4.7
5/20/2025,371.544,4.82
5/19/2025,371.2556,5.07
5/16/2025,371.3646,5.09
5/15/2025,370.9668,5.97
5/14/2025,371.2822,7.01
5/13/2025,372.0846,7.61
5/12/2025,371.2207,7.59
5/9/2025,368.5756,7.32
5/8/2025,368.6614,7.32
5/7/2025,367.776,7.36
5/6/2025,367.7225,7.38
5/5/2025,367.7893,7.45
5/2/2025,367.8496,7.45
5/1/2025,367.1686,7.5
4/30/2025,366.028,7.45
4/29/2025,367.0871,7.41
4/28/2025,366.7735,7.45
4/25/2025,366.502,7.45
4/24/2025,365.5662,7.43
4/23/2025,364.9791,7.5
4/22/2025,362.4304,7.34
4/21/2025,360.7975,7.18
4/18/2025,362.3215,7.1
4/17/2025,362.2545,7.11
4/16/2025,360.7321,6.96
4/15/2025,360.7687,6.98
4/14/2025,360.0162,6.95
4/11/2025,357.2594,6.43
4/10/2025,356.5724,6.37
4/9/2025,358.2637,6.28
4/8/2025,355.9359,5.83
4/7/2025,356.2022,5.94
4/4/2025,359.4266,5.46
4/3/2025,363.4995,4.42
4/2/2025,366.9562,3.41
4/1/2025,366.4179,3.39
3/31/2025,365.716,3.33
3/28/2025,365.5072,3.32
3/27/2025,366.6575,3.21
3/26/2025,367.2446,3.23
3/25/2025,368.5267,3.14
3/24/2025,368.6196,3.19
3/21/2025,367.4009,3.08
3/20/2025,367.925,3.08
3/19/2025,367.5083,3.15
3/18/2025,366.4675,3.02
3/17/2025,366.7246,3.11
3/14/2025,366.0676,3.08
3/13/2025,364.7405,2.91
3/12/2025,366.6791,2.44
3/11/2025,366.7471,2.46
3/10/2025,367.4536,2.39
3/7/2025,368.2112,2.33
3/6/2025,368.1695,2.34
3/5/2025,369.1385,2.19
3/4/2025,368.7747,2.21
3/3/2025,369.2284,2.16
2/28/2025,369.1758,2.22
2/27/2025,369.3283,2.21
2/26/2025,369.4199,2.25
2/25/2025,368.4797,2.16
2/24/2025,368.0378,2.76
2/21/2025,367.6443,2.81
2/20/2025,367.8773,2.86
2/19/2025,367.5601,3.15
2/18/2025,367.8437,3.14
2/17/2025,368.0207,3.19
2/14/2025,367.8141,3.24
2/13/2025,367.1154,3.26
2/12/2025,366.1067,3.22
2/11/2025,366.7339,3.16
2/10/2025,367.3083,3.1
2/7/2025,366.6882,3.09
2/6/2025,367.5258,2.97
2/5/2025,367.4577,2.97
2/4/2025,366.5787,2.92
2/3/2025,366.1162,2.92
