Security,LF98TRUU Index,
Start Date,7/29/1983 0:00,
End Date,7/24/2025 0:00,
Period,D,
,,
Date,PX_LAST,VOLATILITY_30D
7/24/2025,2819.43,1.74
7/23/2025,2819.3,1.82
7/22/2025,2817.83,1.82
7/21/2025,2815.34,1.84
7/18/2025,2809.24,1.78
7/17/2025,2806.42,1.78
7/16/2025,2803.34,1.78
7/15/2025,2803.56,1.77
7/14/2025,2805.45,1.76
7/11/2025,2805.23,1.77
7/10/2025,2809.3,1.66
7/9/2025,2808.22,1.66
7/8/2025,2805.32,1.69
7/7/2025,2809.21,1.57
7/4/2025,2811.52,1.99
7/3/2025,2811.52,1.99
7/2/2025,2809.7,2.1
7/1/2025,2807.95,2.14
6/30/2025,2805.7,2.46
6/27/2025,2798.56,2.39
6/26/2025,2796.77,2.41
6/25/2025,2791.88,2.39
6/24/2025,2789.74,2.43
6/23/2025,2780.96,2.35
6/20/2025,2776.14,2.39
6/19/2025,2771.98,3.19
6/18/2025,2771.98,3.19
6/17/2025,2770.67,3.19
6/16/2025,2772.31,3.17
6/13/2025,2768.11,3.18
6/12/2025,2771.31,3.13
6/11/2025,2770.77,3.15
6/10/2025,2766.41,3.17
6/9/2025,2764.2,3.31
6/6/2025,2763.98,3.31
6/5/2025,2763.92,3.3
6/4/2025,2763.42,3.37
6/3/2025,2759.08,3.42
6/2/2025,2755.37,3.86
5/30/2025,2755.03,3.94
5/29/2025,2754.8,4.17
5/28/2025,2750.13,4.18
5/27/2025,2749.11,4.23
5/26/2025,2734.86,4.03
5/23/2025,2734.86,4.05
5/22/2025,2738.34,4.35
5/21/2025,2739.73,4.32
5/20/2025,2748.54,4.14
5/19/2025,2747.3,4.17
5/16/2025,2747.91,4.2
5/15/2025,2744.77,5.35
5/14/2025,2747.47,6.44
5/13/2025,2751.21,7.1
5/12/2025,2744.76,7.08
5/9/2025,2724.22,6.74
5/8/2025,2723.54,6.75
5/7/2025,2721.1,6.79
5/6/2025,2719.02,6.81
5/5/2025,2720.5,6.85
5/2/2025,2720.1,6.85
5/1/2025,2714.95,6.86
4/30/2025,2709.52,6.83
4/29/2025,2716.43,6.8
4/28/2025,2714.65,6.85
4/25/2025,2712.91,6.84
4/24/2025,2705.13,6.8
