Security,LUACTRUU Index,
Start Date,1/31/1973 0:00,
End Date,7/24/2025 0:00,
Period,D,
,,
Date,PX_LAST,VOLATILITY_30D
7/24/2025,3414.28,3.78
7/23/2025,3416.4,4.03
7/22/2025,3421.75,4.16
7/21/2025,3416.01,4.22
7/18/2025,3403.88,4.13
7/17/2025,3398.39,4.14
7/16/2025,3396.71,4.44
7/15/2025,3389.94,4.46
7/14/2025,3398.23,4.76
7/11/2025,3398.47,4.76
7/10/2025,3415.36,4.56
7/9/2025,3413.81,4.58
7/8/2025,3401.48,4.6
7/7/2025,3406.58,4.62
7/4/2025,3419.67,4.82
7/3/2025,3419.67,4.82
7/2/2025,3426.18,4.74
7/1/2025,3428.74,4.73
6/30/2025,3426.76,5.38
6/27/2025,3410.5,5.27
6/26/2025,3416.28,5.23
6/25/2025,3408.06,5.2
6/24/2025,3408.86,5.33
6/23/2025,3394.69,5.35
6/20/2025,3387.72,5.34
6/19/2025,3385.5,5.38
6/18/2025,3385.5,5.38
6/17/2025,3384.55,5.54
6/16/2025,3373.01,5.49
6/13/2025,3378.19,5.47
6/12/2025,3392.93,5.31
6/11/2025,3378.48,5.29
6/10/2025,3368.55,5.35
6/9/2025,3362.72,5.37
6/6/2025,3356.19,5.37
6/5/2025,3372.82,5.22
6/4/2025,3379.99,5.32
6/3/2025,3358.57,5.32
6/2/2025,3355.13,5.42
5/30/2025,3363.9,5.37
5/29/2025,3357.79,5.81
5/28/2025,3344.65,5.71
5/27/2025,3350.98,5.7
5/26/2025,3326.93,5.38
5/23/2025,3326.93,5.45
5/22/2025,3325.29,5.82
5/21/2025,3316.6,5.81
5/20/2025,3341.4,5.63
5/19/2025,3345.04,5.61
5/16/2025,3344.16,6.1
5/15/2025,3339.9,7.57
5/14/2025,3323.98,7.41
5/13/2025,3333.91,7.41
5/12/2025,3331.99,7.41
5/9/2025,3337.91,7.45
5/8/2025,3335.94,7.48
5/7/2025,3349.19,7.53
5/6/2025,3342.53,7.52
5/5/2025,3336.31,7.55
5/2/2025,3341.26,7.55
5/1/2025,3351.97,7.58
4/30/2025,3364.28,7.53
4/29/2025,3372.15,7.5
4/28/2025,3365.44,7.57
4/25/2025,3355.7,7.53
4/24/2025,3341.22,7.44
4/23/2025,3319.82,7.17
4/22/2025,3306.88,7.08
4/21/2025,3298.76,7.05
4/18/2025,3321.67,6.93
4/17/2025,3321.67,7.04
4/16/2025,3326.61,7.04
4/15/2025,3314.41,6.95
4/14/2025,3304.72,6.89
4/11/2025,3281.5,6.49
4/10/2025,3286.38,6.58
4/9/2025,3305.63,6.5
4/8/2025,3301.81,6.5
4/7/2025,3326.7,6.19
4/4/2025,3376.58,4.6
4/3/2025,3382.43,4.59
4/2/2025,3375.34,4.68
4/1/2025,3373.74,4.68
3/31/2025,3365.38,4.65
3/28/2025,3358.13,4.76
3/27/2025,3341.97,4.55
3/26/2025,3346.19,4.63
3/25/2025,3356.33,4.91
3/24/2025,3351.83,5.16
3/21/2025,3365.03,5.03
3/20/2025,3371.57,4.98
3/19/2025,3369.19,5.13
3/18/2025,3355.86,5.02
3/17/2025,3350.82,5.24
3/14/2025,3343.99,5.24
3/13/2025,3346.54,5.23
3/12/2025,3340.27,5.26
3/11/2025,3348.42,5.2
3/10/2025,3365.8,4.94
3/7/2025,3353.01,4.84
3/6/2025,3358.69,5.01
3/5/2025,3364.77,4.97
3/4/2025,3373.25,4.94
3/3/2025,3384.07,4.84
2/28/2025,3375.11,4.92
2/27/2025,3364.97,4.89
2/26/2025,3373.65,4.78
2/25/2025,3367.22,4.78
2/24/2025,3347.78,5.27
2/21/2025,3340.13,5.26
2/20/2025,3327.34,5.22
2/19/2025,3323.16,5.49
2/18/2025,3319.7,5.5
2/17/2025,3331.44,5.36
2/14/2025,3331.44,5.54
2/13/2025,3320.51,5.5
2/12/2025,3297.87,5.16
2/11/2025,3313.78,4.93
2/10/2025,3319.63,4.94
2/7/2025,3319.87,5.08
2/6/2025,3331.69,5.04
2/5/2025,3335.31,5.02
2/4/2025,3317.67,4.79
2/3/2025,3310.47,4.78
1/31/2025,3307.68,4.85
1/30/2025,3314.3,4.83
1/29/2025,3309.61,5.14
1/28/2025,3313.6,5.53
1/27/2025,3314.22,5.53
1/24/2025,3296.42,5.27
1/23/2025,3290.16,5.33
1/22/2025,3296.91,5.46
1/21/2025,3302.35,5.47
1/20/2025,3288.19,5.25
1/17/2025,3288.19,5.27
1/16/2025,3287.55,5.31
1/15/2025,3280.61,5.24
1/14/2025,3249.1,4.39
1/13/2025,3249.03,4.39
1/10/2025,3253.32,4.46
1/9/2025,3269.31,4.63
1/8/2025,3271.01,4.63
1/7/2025,3266.43,4.7
1/6/2025,3279.63,4.6
1/3/2025,3284.82,5.65
1/2/2025,3290.84,5.62
12/31/2024,3289.5,5.62
12/30/2024,3295.93,5.63
12/27/2024,3282.27,5.5
12/26/2024,3292.01,5.48
12/25/2024,3288.94,5.47
12/24/2024,3288.94,5.47
12/23/2024,3283.13,5.48
12/20/2024,3291.74,5.91
12/19/2024,3285.02,5.86
12/18/2024,3303.69,5.74
12/17/2024,3326.24,5.85
12/16/2024,3327.41,6.24
12/13/2024,3324.19,6.28
12/12/2024,3337.16,6.37
12/11/2024,3352.81,6.39
12/10/2024,3359.67,6.36
12/9/2024,3363.56,6.35
12/6/2024,3371.31,6.29
12/5/2024,3365.58,6.29
12/4/2024,3365.69,6.33
12/3/2024,3352.21,6.26
12/2/2024,3359.45,6.27
11/29/2024,3354.42,6.27
11/28/2024,3338.33,6.59
11/27/2024,3338.33,6.59
11/26/2024,3329.61,6.68
11/25/2024,3336.61,6.69
11/22/2024,3302.06,6.02
11/21/2024,3301.59,6.02
11/20/2024,3302.64,6.02
11/19/2024,3309.74,6
11/18/2024,3304.53,5.99
11/15/2024,3297.31,5.95
11/14/2024,3298.76,5.99
11/13/2024,3300.19,6.22
11/12/2024,3308.68,6.26
11/11/2024,3334.93,5.88
11/8/2024,3334.93,5.99
11/7/2024,3323.83,5.87
11/6/2024,3297.99,5.36
11/5/2024,3321.01,5.02
11/4/2024,3312.78,5.02
11/1/2024,3293.82,4.64
10/31/2024,3310.14,4.5
10/30/2024,3314.63,4.5
10/29/2024,3315.3,4.54
10/28/2024,3313.18,4.57
10/25/2024,3316.24,4.57
10/24/2024,3322.24,4.79
10/23/2024,3314.45,4.81
10/22/2024,3322.29,4.78
10/21/2024,3324.15,4.78
10/18/2024,3351.15,4.29
10/17/2024,3353.25,4.34
10/16/2024,3369.87,4.1
10/15/2024,3363.96,4.15
10/14/2024,3348.69,4.21
10/11/2024,3348.69,4.36
10/10/2024,3349.02,4.36
10/9/2024,3348.59,4.45
10/8/2024,3355.66,4.42
10/7/2024,3353.02,4.42
10/4/2024,3363.34,4.32
10/3/2024,3384.43,3.85
10/2/2024,3397.13,3.84
10/1/2024,3403.11,3.99
9/30/2024,3392.48,3.94
9/27/2024,3398.4,3.92
9/26/2024,3389.09,3.9
9/25/2024,3390.41,3.91
9/24/2024,3404.22,3.77
9/23/2024,3399.03,3.85
9/20/2024,3398.88,4.01
9/19/2024,3400.73,4
9/18/2024,3396.5,4.08
9/17/2024,3407.61,3.92
9/16/2024,3410.16,4.07
9/13/2024,3396.65,4.38
9/12/2024,3387.94,4.45
9/11/2024,3389.42,5.11
9/10/2024,3390.77,5.12
9/9/2024,3382.18,5.27
9/6/2024,3375.55,5.26
9/5/2024,3372.63,5.27
9/4/2024,3363.3,5.32
9/3/2024,3346.1,5.2
9/2/2024,3333.38,5.35
8/30/2024,3333.38,5.35
8/29/2024,3342.59,5.25
8/28/2024,3347.28,5.33
8/27/2024,3350.54,5.43
8/26/2024,3351.39,5.42
8/23/2024,3353.28,5.5
8/22/2024,3338.07,5.52
8/21/2024,3350.58,5.36
8/20/2024,3343.9,5.49
8/19/2024,3335.43,5.47
8/16/2024,3328.29,5.51
8/15/2024,3321.21,5.5
8/14/2024,3330,5.51
8/13/2024,3318.52,5.47
8/12/2024,3302.92,5.55
8/9/2024,3295.91,5.62
8/8/2024,3283.05,5.87
8/7/2024,3287.23,6.07
8/6/2024,3296.61,5.98
8/5/2024,3313.28,6.02
8/2/2024,3321.09,5.94
8/1/2024,3290.57,5.37
7/31/2024,3281.77,5.34
7/30/2024,3263.65,5.2
7/29/2024,3260.46,5.2
7/26/2024,3254.06,5.29
7/25/2024,3240.56,5.32
7/24/2024,3233.3,5.27
7/23/2024,3246.02,5.31
7/22/2024,3247.02,5.46
7/19/2024,3248.48,5.55
7/18/2024,3257.8,5.49
7/17/2024,3267.3,5.99
7/16/2024,3266.81,6
7/15/2024,3252.68,5.92
7/12/2024,3262.71,5.9
7/11/2024,3253.92,6.07
7/10/2024,3237.65,6.02
7/9/2024,3233.95,6.12
7/8/2024,3238.88,6.27
7/5/2024,3236.22,6.4
7/4/2024,3220.87,6.27
7/3/2024,3220.87,6.26
7/2/2024,3202.23,6.13
7/1/2024,3188.45,6
6/28/2024,3205.37,5.8
6/27/2024,3220.43,5.6
6/26/2024,3213.79,5.63
6/25/2024,3231.28,5.37
6/24/2024,3231.76,5.71
6/21/2024,3226.37,5.73
6/20/2024,3226.24,5.72
6/19/2024,3235.5,5.71
6/18/2024,3235.5,5.72
6/17/2024,3222.67,5.7
6/14/2024,3235.79,5.52
6/13/2024,3234.13,5.54
6/12/2024,3219.03,5.61
6/11/2024,3204.3,5.59
6/10/2024,3191.69,5.56
6/7/2024,3196.71,5.69
6/6/2024,3222.59,5.07
6/5/2024,3224.31,5.09
6/4/2024,3215.91,5.23
6/3/2024,3203.59,5.27
5/31/2024,3185.11,5.05
5/30/2024,3171.8,4.93
5/29/2024,3157.78,4.78
5/28/2024,3171.02,4.65
5/27/2024,3182.14,4.67
5/24/2024,3182.14,4.88
5/23/2024,3180.18,5.39
5/22/2024,3190.53,5.28
5/21/2024,3193.91,5.3
5/20/2024,3188.15,6.35
5/17/2024,3190.18,6.44
5/16/2024,3197.13,6.4
5/15/2024,3200.91,6.59
5/14/2024,3179.22,6.29
5/13/2024,3171.24,6.25
5/10/2024,3168.59,6.25
5/9/2024,3177.07,6.69
5/8/2024,3171.74,6.66
5/7/2024,3179.32,6.64
5/6/2024,3174.92,6.72
5/3/2024,3167.83,6.67
5/2/2024,3150.19,6.45
5/1/2024,3136.96,6.41
4/30/2024,3126.55,6.33
4/29/2024,3138.66,6.26
4/26/2024,3127.12,6.18
4/25/2024,3117.25,6.07
4/24/2024,3127.07,6.02
4/23/2024,3135.9,6.22
4/22/2024,3129.74,6.17
4/19/2024,3126.23,6.16
4/18/2024,3122.22,6.13
4/17/2024,3129.82,6.14
4/16/2024,3114.42,5.93
4/15/2024,3126.94,5.93
4/12/2024,3149,5.78
4/11/2024,3143.8,5.75
4/10/2024,3148.24,5.88
4/9/2024,3184.12,4.77
4/8/2024,3172.23,4.65
4/5/2024,3170.41,4.68
4/4/2024,3186.8,4.45
4/3/2024,3180.78,4.49
4/2/2024,3177.42,4.49
4/1/2024,3181.47,4.52
3/29/2024,3208.19,3.71
3/28/2024,3208.19,3.71
3/27/2024,3204.68,3.83
3/26/2024,3193.83,3.81
3/25/2024,3192.98,3.93
3/22/2024,3200.28,4.81
3/21/2024,3188.81,4.7
3/20/2024,3183.67,4.7
3/19/2024,3180.74,4.8
3/18/2024,3174.7,4.8
3/15/2024,3175.44,5.03
3/14/2024,3176.03,5.51
3/13/2024,3195.76,5.82
3/12/2024,3198.48,6.08
3/11/2024,3206.39,6.14
3/8/2024,3207.5,6.15
3/7/2024,3203.65,6.26
3/6/2024,3198.6,6.25
3/5/2024,3190.77,6.36
3/4/2024,3177.05,6.25
3/1/2024,3179.77,6.3
2/29/2024,3167.24,6.23
2/28/2024,3163.87,6.22
2/27/2024,3160.63,6.22
2/26/2024,3165.52,6.24
2/23/2024,3172.82,6.53
2/22/2024,3164.32,6.46
2/21/2024,3160.34,6.49
2/20/2024,3166.8,6.65
2/19/2024,3159.81,6.6
2/16/2024,3159.81,6.61
2/15/2024,3168.59,6.75
2/14/2024,3158.94,6.74
2/13/2024,3147.45,6.79
2/12/2024,3176.21,6.26
2/9/2024,3174.23,6.52
2/8/2024,3179.12,6.51
2/7/2024,3189.97,6.47
2/6/2024,3196.38,6.88
2/5/2024,3180.86,6.74
2/2/2024,3204.82,6.35
2/1/2024,3233.27,5.74
1/31/2024,3215.57,5.54
1/30/2024,3203.59,5.49
1/29/2024,3199.44,5.49
1/26/2024,3186.35,5.41
1/25/2024,3189.18,5.41
1/24/2024,3174.45,6.11
1/23/2024,3178.94,7.43
1/22/2024,3187.8,7.4
1/19/2024,3179.36,7.38
1/18/2024,3177.63,7.51
1/17/2024,3181.92,7.51
1/16/2024,3189.02,7.52
1/15/2024,3211.37,7.33
1/12/2024,3211.37,7.4
1/11/2024,3204.48,7.74
1/10/2024,3189.84,7.78
1/9/2024,3190.32,7.97
1/8/2024,3187.46,7.99
1/5/2024,3171.45,8.09
1/4/2024,3180.82,8.12
1/3/2024,3197.92,7.86
1/2/2024,3200.31,7.83
12/29/2023,3221.05,7.43
12/28/2023,3223.34,7.39
12/27/2023,3230.86,7.26
12/26/2023,3206.39,7.17
12/25/2023,3200.11,7.47
12/22/2023,3200.11,8.15
12/21/2023,3204.08,8.09
12/20/2023,3209.63,7.99
12/19/2023,3200.46,8.63
12/18/2023,3196.51,8.65
12/15/2023,3205.38,8.53
12/14/2023,3209.48,8.68
12/13/2023,3176.4,8.41
12/12/2023,3131.62,7.84
12/11/2023,3121.47,8.15
12/8/2023,3121.7,8.2
12/7/2023,3134.21,8.09
12/6/2023,3138.48,8.05
12/5/2023,3126.55,8.1
12/4/2023,3106.28,8.5
12/1/2023,3113.96,8.41
11/30/2023,3087.21,8.23
11/29/2023,3097.19,8.06
11/28/2023,3075.58,8.32
11/27/2023,3066.18,8.58
11/24/2023,3045.11,8.8
11/23/2023,3055.99,8.89
11/22/2023,3055.99,8.97
11/21/2023,3048.84,9.46
11/20/2023,3046.82,9.56
11/17/2023,3037.45,9.96
11/16/2023,3029.88,10.06
11/15/2023,3011.77,9.96
11/14/2023,3026.48,9.91
11/13/2023,2987.23,9.67
11/10/2023,2985.18,9.96
11/9/2023,2976.6,9.93
11/8/2023,3001.34,9.59
11/7/2023,2987.55,9.58
11/6/2023,2972.98,9.47
11/3/2023,2984.87,9.62
11/2/2023,2967.36,9.56
11/1/2023,2941.33,9.42
10/31/2023,2913.06,8.86
10/30/2023,2917.12,8.87
10/27/2023,2924.01,8.9
10/26/2023,2924.93,8.9
10/25/2023,2908.44,8.65
10/24/2023,2929.43,8.48
10/23/2023,2917.11,8.34
10/20/2023,2901.38,8.09
10/19/2023,2893.16,8.03
10/18/2023,2911.14,8
10/17/2023,2926.4,7.9
10/16/2023,2947.16,7.8
10/13/2023,2962.43,7.83
10/12/2023,2947.05,7.64
10/11/2023,2973.33,7.25
10/10/2023,2957.16,7.3
10/6/2023,2925.99,6.49
10/5/2023,2936.89,6.45
10/4/2023,2938.05,6.47
10/3/2023,2919.98,7.07
10/2/2023,2946.49,6.65
9/29/2023,2968.65,6.43
9/28/2023,2969.94,6.47
9/27/2023,2967,6.48
9/26/2023,2978.57,6.47
9/25/2023,2983.31,6.51
9/22/2023,3004.08,6.19
9/21/2023,2989.97,6.04
9/20/2023,3014.57,5.84
9/19/2023,3012.01,5.84
9/18/2023,3019.47,5.92
9/15/2023,3014.19,5.92
9/14/2023,3020.35,6.47
9/13/2023,3024.21,6.86
9/12/2023,3021.27,6.97
9/11/2023,3019.99,7.22
9/8/2023,3024.71,7.26
9/7/2023,3020.58,7.37
9/6/2023,3011.59,7.61
9/5/2023,3015.97,7.68
9/1/2023,3032.43,7.53
8/31/2023,3050.07,7.35
8/30/2023,3044.88,7.34
8/29/2023,3045.31,7.54
8/28/2023,3026.93,7.42
8/25/2023,3019.18,7.4
8/24/2023,3017.9,7.4
8/23/2023,3025.28,7.49
8/22/2023,2992.67,6.94
8/21/2023,2986.42,7.41
8/18/2023,3000.75,7.36
8/17/2023,2994.06,7.4
8/16/2023,2999.75,7.39
8/15/2023,3011.15,7.65
8/14/2023,3019.79,7.72
8/11/2023,3022.16,7.72
8/10/2023,3030.68,7.87
8/9/2023,3049.78,7.91
8/8/2023,3046.81,7.98
8/7/2023,3035.84,7.91
8/4/2023,3042.58,7.91
8/3/2023,3016.42,7.48
8/2/2023,3039.5,7.28
8/1/2023,3053.48,7.16
7/31/2023,3073.95,6.93
7/28/2023,3066.91,6.91
7/27/2023,3054.33,7.06
7/26/2023,3078.04,6.64
7/25/2023,3069.83,6.73
7/24/2023,3071.34,6.75
7/21/2023,3074.13,6.78
7/20/2023,3070.68,6.9
7/19/2023,3089.5,6.92
7/18/2023,3075.98,6.82
7/17/2023,3069.95,6.8
7/14/2023,3068.14,6.9
7/13/2023,3082.87,6.77
7/12/2023,3063.64,6.57
7/11/2023,3038.49,6.62
7/10/2023,3029.73,6.57
7/7/2023,3019.71,6.56
7/6/2023,3021.41,6.61
7/5/2023,3044.67,6.19
7/3/2023,3058.66,6.01
6/30/2023,3063.39,6.02
6/29/2023,3047.55,5.96
6/28/2023,3068.61,5.59
6/27/2023,3058.19,5.61
6/26/2023,3063.91,5.7
6/23/2023,3058.71,5.82
6/22/2023,3050.42,5.85
6/21/2023,3065.5,5.97
6/20/2023,3064.19,5.98
6/16/2023,3054.43,6.16
6/15/2023,3058.17,6.18
6/14/2023,3038.85,5.93
6/13/2023,3032.77,6.01
6/12/2023,3044.69,6.59
6/9/2023,3038.77,7.43
6/8/2023,3045.25,7.69
6/7/2023,3030.83,7.6
6/6/2023,3050.19,7.48
6/5/2023,3047.37,7.75
6/2/2023,3048.15,7.9
6/1/2023,3059.4,7.83
5/31/2023,3050.83,7.85
5/30/2023,3042.56,7.82
5/26/2023,3016.23,7.36
5/25/2023,3013.85,7.44
5/24/2023,3022.83,7.45
5/23/2023,3030.83,7.43
5/22/2023,3026.82,7.42
5/19/2023,3026.76,7.44
5/18/2023,3032.36,7.44
5/17/2023,3044.49,7.56
5/16/2023,3049.54,7.56
5/15/2023,3060.29,7.55
5/12/2023,3071.93,7.56
5/11/2023,3085.75,7.58
5/10/2023,3075.26,7.78
5/9/2023,3056.56,7.63
5/8/2023,3059.08,7.62
5/5/2023,3077.51,7.39
5/4/2023,3084.63,7.81
5/3/2023,3097.66,7.69
5/2/2023,3087.22,7.65
