Security,LUATTRUU Index,
Start Date,1/31/1973 0:00,
End Date,7/24/2025 0:00,
Period,D,
,,
Date,PX_LAST,VOLATILITY_30D
7/24/2025,2360.13,3.58
7/23/2025,2362.43,3.71
7/22/2025,2368.03,3.79
7/21/2025,2363.16,3.83
7/18/2025,2356.31,3.76
7/17/2025,2352.43,3.74
7/16/2025,2353.4,4.16
7/15/2025,2348.81,4.14
7/14/2025,2355.68,4.4
7/11/2025,2356.06,4.41
7/10/2025,2365.35,4.34
7/9/2025,2365.35,4.37
7/8/2025,2356.39,4.34
7/7/2025,2358.1,4.37
7/4/2025,2363.25,4.45
7/3/2025,2363.25,4.45
7/2/2025,2370.59,4.31
7/1/2025,2374.75,4.27
6/30/2025,2377.11,4.59
6/27/2025,2369.26,4.55
6/26/2025,2374.35,4.48
6/25/2025,2368.48,4.44
6/24/2025,2366.94,4.6
6/23/2025,2360.76,4.64
6/20/2025,2354.71,4.61
6/19/2025,2353.78,4.84
6/18/2025,2353.78,4.85
6/17/2025,2352.53,5.12
6/16/2025,2343.66,5
6/13/2025,2349.08,4.99
6/12/2025,2356.81,4.9
6/11/2025,2348.01,5
6/10/2025,2341.49,5
6/9/2025,2338.41,4.97
6/6/2025,2335.42,5.04
6/5/2025,2349.05,4.87
6/4/2025,2352.55,4.93
6/3/2025,2338.82,4.76
6/2/2025,2340.56,4.77
5/30/2025,2347.66,4.68
5/29/2025,2342.74,4.79
5/28/2025,2335.12,4.68
5/27/2025,2339.36,4.69
5/26/2025,2329.88,4.63
5/23/2025,2329.88,4.66
5/22/2025,2327.31,4.94
5/21/2025,2322.15,4.95
5/20/2025,2334,4.96
5/19/2025,2337.18,4.99
5/16/2025,2337.49,5.14
5/15/2025,2337,5.84
5/14/2025,2326.64,5.72
5/13/2025,2332.37,6.13
5/12/2025,2334.66,6.13
5/9/2025,2345.57,6.05
5/8/2025,2344.11,6.11
5/7/2025,2356.77,6.11
5/6/2025,2353.2,6.11
5/5/2025,2348.97,6.12
5/2/2025,2352.06,6.11
5/1/2025,2364.11,6.05
4/30/2025,2372.05,5.96
4/29/2025,2372.07,5.96
4/28/2025,2365.42,5.95
4/25/2025,2357.82,5.88
4/24/2025,2351.25,5.83
4/23/2025,2341.69,5.77
4/22/2025,2338.64,5.84
4/21/2025,2336.84,5.87
4/18/2025,2345.93,5.81
4/17/2025,2345.93,6.03
4/16/2025,2351.31,6
4/15/2025,2343.59,5.92
4/14/2025,2339.97,6.01
4/11/2025,2327.33,5.8
4/10/2025,2333.19,5.83
4/9/2025,2345.51,5.78
4/8/2025,2350.46,5.75
4/7/2025,2360.77,5.61
4/4/2025,2383.69,4.94
4/3/2025,2377.48,4.92
4/2/2025,2361.11,4.69
4/1/2025,2363.19,4.66
3/31/2025,2357.12,4.63
3/28/2025,2350.57,4.77
3/27/2025,2337.33,4.5
3/26/2025,2338.31,4.55
3/25/2025,2342.61,4.71
3/24/2025,2340.07,5.03
3/21/2025,2350.19,4.86
3/20/2025,2352.43,4.85
3/19/2025,2349.94,4.95
3/18/2025,2344.35,4.93
3/17/2025,2342.25,5.1
3/14/2025,2340.19,5.11
3/13/2025,2346.81,5.01
3/12/2025,2339.3,4.97
3/11/2025,2344.78,4.9
3/10/2025,2350.91,4.81
3/7/2025,2338.52,4.61
3/6/2025,2341.47,4.77
3/5/2025,2341.99,4.77
3/4/2025,2351.13,4.62
3/3/2025,2357.53,4.56
2/28/2025,2351.72,4.57
2/27/2025,2341.23,4.44
2/26/2025,2343.79,4.42
2/25/2025,2338.74,4.41
2/24/2025,2324.79,4.55
2/21/2025,2320.95,4.55
2/20/2025,2310.55,4.42
2/19/2025,2307.55,4.67
2/18/2025,2304.89,4.67
2/17/2025,2313.11,4.51
2/14/2025,2313.11,4.65
2/13/2025,2306.44,4.59
2/12/2025,2294.31,4.35
2/11/2025,2306.23,4.03
2/10/2025,2310.44,3.99
2/7/2025,2311.01,4.16
2/6/2025,2317.63,4.11
2/5/2025,2318.82,4.1
2/4/2025,2307.58,3.87
2/3/2025,2304,3.85
1/31/2025,2302.09,3.95
1/30/2025,2304.54,3.96
1/29/2025,2300.87,4.05
1/28/2025,2302.78,4.41
1/27/2025,2303.39,4.41
1/24/2025,2291.57,4.12
1/23/2025,2287.87,4.19
1/22/2025,2291.93,4.26
1/21/2025,2296.07,4.29
1/20/2025,2289.51,4.18
1/17/2025,2289.51,4.21
1/16/2025,2289.93,4.27
1/15/2025,2285.46,4.21
1/14/2025,2269.11,3.69
1/13/2025,2268.81,3.7
1/10/2025,2270.35,3.72
1/9/2025,2280.57,3.75
1/8/2025,2281.04,3.75
1/7/2025,2278.9,3.86
1/6/2025,2286.42,3.77
1/3/2025,2287.78,4.63
1/2/2025,2290.91,4.62
12/31/2024,2290.24,4.62
12/30/2024,2292.05,4.63
12/27/2024,2282.34,4.46
12/26/2024,2286.94,4.45
12/25/2024,2285.87,4.45
12/24/2024,2285.87,4.45
12/23/2024,2284.14,4.44
12/20/2024,2290.42,4.8
12/19/2024,2286.39,4.76
12/18/2024,2292.89,4.74
12/17/2024,2306.22,4.69
12/16/2024,2305.35,5.31
12/13/2024,2303.94,5.31
12/12/2024,2312.02,5.39
12/11/2024,2319.59,5.49
12/10/2024,2325.53,5.42
12/9/2024,2329.29,5.4
12/6/2024,2334.97,5.33
12/5/2024,2330.9,5.34
12/4/2024,2330.44,5.38
12/3/2024,2322.14,5.3
12/2/2024,2327.32,5.28
11/29/2024,2326.08,5.29
11/28/2024,2318.35,5.47
11/27/2024,2318.35,5.48
11/26/2024,2311.84,5.55
11/25/2024,2314.3,5.57
11/22/2024,2294.49,4.98
11/21/2024,2294.4,4.98
11/20/2024,2296.04,4.98
11/19/2024,2298.93,4.97
11/18/2024,2295.27,4.97
11/15/2024,2292.03,4.95
11/14/2024,2291.58,4.98
11/13/2024,2291.37,5.39
11/12/2024,2292.83,5.46
11/11/2024,2308.18,5.19
11/8/2024,2308.18,5.3
11/7/2024,2303.53,5.24
11/6/2024,2291.12,5
11/5/2024,2309.75,4.5
11/4/2024,2308.31,4.53
11/1/2024,2297.39,4.22
10/31/2024,2308.14,4.07
10/30/2024,2307.28,4.06
10/29/2024,2308.77,4.06
10/28/2024,2307.48,4.11
10/25/2024,2310.54,4.12
10/24/2024,2314.99,4.27
10/23/2024,2310.91,4.27
10/22/2024,2314.77,4.26
10/21/2024,2315.68,4.26
10/18/2024,2328.98,4.19
10/17/2024,2327.04,4.2
10/16/2024,2337.4,4.07
10/15/2024,2334.48,4.1
10/14/2024,2326.68,4.26
10/11/2024,2326.68,4.57
10/10/2024,2327.03,4.57
10/9/2024,2327.55,4.63
10/8/2024,2333.61,4.59
10/7/2024,2332.01,4.58
10/4/2024,2338.19,4.52
10/3/2024,2356.15,3.88
10/2/2024,2365.15,3.8
10/1/2024,2370.9,3.93
9/30/2024,2364.44,3.88
9/27/2024,2369.99,3.9
9/26/2024,2363.32,3.84
9/25/2024,2364.5,3.85
9/24/2024,2371.63,4.05
9/23/2024,2369.22,4.05
9/20/2024,2370.49,4.13
9/19/2024,2371.52,4.14
9/18/2024,2372.18,4.18
9/17/2024,2380.95,4.07
9/16/2024,2384.9,4.13
9/13/2024,2378.27,4.74
9/12/2024,2374.06,4.72
9/11/2024,2377.32,5.95
9/10/2024,2379.24,6
9/9/2024,2371.07,6.09
9/6/2024,2368.49,6.09
9/5/2024,2364.66,6.09
9/4/2024,2360.3,6.13
9/3/2024,2348.65,6.02
9/2/2024,2336.35,5.95
8/30/2024,2336.35,5.94
8/29/2024,2342.33,5.87
8/28/2024,2345.72,5.91
8/27/2024,2346.48,5.98
8/26/2024,2346.58,5.97
8/23/2024,2348.19,6.01
8/22/2024,2340.08,6.04
8/21/2024,2349.32,5.86
8/20/2024,2345.53,5.98
8/19/2024,2337.65,5.94
8/16/2024,2334.58,5.97
8/15/2024,2330.82,5.97
8/14/2024,2342.38,5.75
8/13/2024,2339.3,5.76
8/12/2024,2331.69,5.84
8/9/2024,2326.55,5.85
8/8/2024,2320.06,6.18
8/7/2024,2325.57,6.29
8/6/2024,2331.69,6.2
8/5/2024,2348.78,5.92
8/2/2024,2346.1,5.92
8/1/2024,2316.53,4.71
7/31/2024,2306.84,4.59
7/30/2024,2294.86,4.41
7/29/2024,2291.35,4.4
7/26/2024,2287.72,4.49
7/25/2024,2280.01,4.53
7/24/2024,2275.55,4.52
7/23/2024,2280.22,4.73
7/22/2024,2279.22,4.84
7/19/2024,2280.87,4.93
7/18/2024,2285.98,4.89
7/17/2024,2291.5,5.47
7/16/2024,2290.42,5.47
7/15/2024,2281.98,5.43
7/12/2024,2287.14,5.48
7/11/2024,2282.89,5.63
7/10/2024,2271.49,5.54
7/9/2024,2269.8,5.61
7/8/2024,2271.83,5.74
7/5/2024,2270.73,5.87
7/4/2024,2261.69,5.77
7/3/2024,2261.69,5.77
7/2/2024,2250.68,5.68
7/1/2024,2244.56,5.63
6/28/2024,2257.45,5.36
6/27/2024,2266.85,5.19
6/26/2024,2263.05,5.24
6/25/2024,2273.78,5.03
6/24/2024,2272.25,5.28
6/21/2024,2269.94,5.3
6/20/2024,2269.74,5.3
6/19/2024,2274.17,5.31
6/18/2024,2274.17,5.32
6/17/2024,2266.07,5.29
6/14/2024,2273.95,5.15
6/13/2024,2269.76,5.14
6/12/2024,2257.74,5.07
6/11/2024,2249.29,5.03
6/10/2024,2240.78,5
6/7/2024,2244.07,5.08
6/6/2024,2262.09,4.39
6/5/2024,2262.04,4.39
6/4/2024,2255.75,4.5
6/3/2024,2246.06,4.44
5/31/2024,2234.91,4.23
5/30/2024,2226.91,4.11
5/29/2024,2218.97,4
5/28/2024,2226.99,3.93
5/27/2024,2234.56,3.93
5/24/2024,2234.56,4.04
5/23/2024,2233.77,4.32
5/22/2024,2240.07,4.28
5/21/2024,2241.64,4.28
5/20/2024,2237.42,5.37
5/17/2024,2239.32,5.46
5/16/2024,2244.37,5.42
5/15/2024,2247.7,5.64
5/14/2024,2234.94,5.43
5/13/2024,2229.86,5.38
5/10/2024,2227.56,5.38
5/9/2024,2232.32,5.78
5/8/2024,2228.37,5.74
5/7/2024,2232.32,5.73
5/6/2024,2228.4,5.77
5/3/2024,2226.09,5.77
5/2/2024,2216.49,5.59
5/1/2024,2209.72,5.63
4/30/2024,2202.82,5.53
4/29/2024,2209.72,5.51
4/26/2024,2203.25,5.46
4/25/2024,2199.24,5.42
4/24/2024,2205.74,5.37
4/23/2024,2210.37,5.57
4/22/2024,2208.09,5.56
4/19/2024,2207.82,5.61
4/18/2024,2204.83,5.57
4/17/2024,2210.74,5.55
4/16/2024,2201.45,5.36
4/15/2024,2207.13,5.39
4/12/2024,2217.44,5.5
4/11/2024,2211.07,5.41
4/10/2024,2213.09,5.56
4/9/2024,2236.55,4.63
4/8/2024,2228.94,4.58
4/5/2024,2231.28,4.6
4/4/2024,2243.01,4.33
4/3/2024,2237.16,4.4
4/2/2024,2236.13,4.4
4/1/2024,2238.62,4.46
3/29/2024,2255.31,3.83
3/28/2024,2255.31,3.83
3/27/2024,2254.99,3.95
3/26/2024,2248.92,3.91
3/25/2024,2246.65,3.98
3/22/2024,2250.22,4.74
3/21/2024,2241.98,4.61
3/20/2024,2241.55,4.62
3/19/2024,2237.9,4.65
3/18/2024,2233.42,4.61
3/15/2024,2235.26,4.79
3/14/2024,2237.41,5.24
3/13/2024,2250.2,5.69
3/12/2024,2254.08,5.96
3/11/2024,2261.73,6.11
3/8/2024,2263.52,6.12
3/7/2024,2262.25,6.25
3/6/2024,2260.04,6.26
3/5/2024,2256.33,6.3
3/4/2024,2245.63,6.18
3/1/2024,2249.39,6.19
2/29/2024,2240.91,6.12
2/28/2024,2236.82,6.09
2/27/2024,2230.81,6.06
2/26/2024,2234.69,6.09
2/23/2024,2237.03,6.3
2/22/2024,2228.64,6.16
2/21/2024,2228.41,6.21
2/20/2024,2234.3,6.29
2/19/2024,2230.79,6.27
2/16/2024,2230.79,6.27
2/15/2024,2237.22,6.32
2/14/2024,2233.22,6.33
2/13/2024,2226.79,6.39
2/12/2024,2245.64,5.95
2/9/2024,2243.82,6.04
2/8/2024,2245.79,6.04
2/7/2024,2251.65,6.05
2/6/2024,2254.9,6.35
2/5/2024,2245.7,6.23
2/2/2024,2262.06,5.84
2/1/2024,2283.48,5.09
1/31/2024,2270.7,4.82
1/30/2024,2258.45,4.67
1/29/2024,2255.65,4.68
1/26/2024,2245.85,4.5
1/25/2024,2248.28,4.49
1/24/2024,2241.37,4.95
1/23/2024,2246.29,5.99
1/22/2024,2250.53,5.95
1/19/2024,2245.34,5.93
1/18/2024,2244.87,6.12
1/17/2024,2249.83,6.09
1/16/2024,2255.91,6.09
1/15/2024,2268.98,6.01
1/12/2024,2268.98,6.08
1/11/2024,2264.62,6.4
1/10/2024,2256.39,6.5
1/9/2024,2259.32,6.57
1/8/2024,2261.18,6.58
1/5/2024,2253.89,6.7
1/4/2024,2260.1,6.75
1/3/2024,2271.48,6.49
1/2/2024,2267.91,6.49
12/29/2023,2277.09,6.29
12/28/2023,2277.66,6.27
12/27/2023,2284.01,6.14
12/26/2023,2270.01,6.07
12/25/2023,2267.74,6.41
12/22/2023,2267.74,6.95
12/21/2023,2269.95,6.92
12/20/2023,2273.3,6.85
12/19/2023,2264.8,7.4
12/18/2023,2261.52,7.43
12/15/2023,2265.76,7.4
12/14/2023,2266.74,7.57
12/13/2023,2250.07,7.45
12/12/2023,2224.62,6.88
12/11/2023,2221.75,7.18
12/8/2023,2221.9,7.22
12/7/2023,2232.36,7.04
12/6/2023,2235.26,7
12/5/2023,2227.81,7.07
12/4/2023,2214.12,7.31
12/1/2023,2219.44,7.23
11/30/2023,2202.96,7.02
11/29/2023,2211.46,6.88
11/28/2023,2201.13,6.98
11/27/2023,2194.63,7.07
11/24/2023,2182.11,7.22
11/23/2023,2189.94,7.28
11/22/2023,2189.94,7.38
11/21/2023,2189.61,7.82
11/20/2023,2188.31,7.9
11/17/2023,2184.78,8.22
11/16/2023,2183.74,8.35
11/15/2023,2173.11,8.24
11/14/2023,2184.92,8.14
11/13/2023,2162.4,7.85
11/10/2023,2162.2,8.05
11/9/2023,2159.65,8.04
11/8/2023,2176.74,7.67
11/7/2023,2169.03,7.67
11/6/2023,2160,7.58
11/3/2023,2168.61,7.69
11/2/2023,2156.64,7.57
11/1/2023,2146.38,7.62
10/31/2023,2129.02,7.14
10/30/2023,2132.26,7.16
10/27/2023,2136.15,7.17
10/26/2023,2134.72,7.17
10/25/2023,2123.13,6.91
10/24/2023,2136.46,6.74
10/23/2023,2132.44,6.71
10/20/2023,2124.45,6.56
10/19/2023,2116.19,6.4
10/18/2023,2124.22,6.42
10/17/2023,2130.35,6.39
10/16/2023,2143.41,6.28
10/13/2023,2153.07,6.28
10/12/2023,2142.69,6.08
10/11/2023,2159.48,5.69
10/10/2023,2150.02,5.78
10/6/2023,2132.6,5.15
10/5/2023,2141.28,5.05
10/4/2023,2140.8,5.07
10/3/2023,2129.94,5.43
10/2/2023,2143.02,5.18
9/29/2023,2155.06,5.09
9/28/2023,2153.6,5.12
9/27/2023,2148.73,5.05
9/26/2023,2154.92,5.04
9/25/2023,2156.25,5.05
9/22/2023,2168.91,4.78
9/21/2023,2161.93,4.7
9/20/2023,2175.28,4.63
9/19/2023,2176.12,4.64
9/18/2023,2181.82,4.75
9/15/2023,2179.77,4.76
9/14/2023,2183.84,5.29
9/13/2023,2188.6,5.56
9/12/2023,2186.68,5.57
9/11/2023,2184.56,5.72
9/8/2023,2187.53,5.73
9/7/2023,2186.36,5.8
9/6/2023,2181.57,6.13
9/5/2023,2184.49,6.17
9/1/2023,2194.16,6.06
8/31/2023,2203.75,5.95
8/30/2023,2200.09,5.92
8/29/2023,2200.48,6.12
8/28/2023,2188.82,5.95
8/25/2023,2185.62,5.94
8/24/2023,2185.9,5.96
8/23/2023,2191.1,6
8/22/2023,2173.88,5.76
8/21/2023,2172.09,6.18
8/18/2023,2181.98,6.07
8/17/2023,2178.23,6.14
8/16/2023,2179.63,6.13
8/15/2023,2185.44,6.32
8/14/2023,2188.32,6.37
8/11/2023,2191,6.39
8/10/2023,2196.98,6.42
8/9/2023,2209.15,6.63
8/8/2023,2207.78,6.68
8/7/2023,2199.75,6.6
8/4/2023,2203.69,6.61
8/3/2023,2187.09,6.25
8/2/2023,2200.31,6.14
8/1/2023,2204.5,6.14
7/31/2023,2215.23,6.04
7/28/2023,2212.62,6.07
7/27/2023,2206.79,6.19
7/26/2023,2223.49,5.77
7/25/2023,2219.27,5.94
7/24/2023,2221.61,5.95
7/21/2023,2225.69,5.96
7/20/2023,2224.98,6.11
7/19/2023,2237.32,6.07
7/18/2023,2230.47,6
7/17/2023,2228.21,5.99
7/14/2023,2226.14,6.22
7/13/2023,2234.31,6.17
7/12/2023,2221.22,5.99
7/11/2023,2206.1,6.07
7/10/2023,2203.48,6.06
7/7/2023,2196.43,6.09
7/6/2023,2197.55,6.11
7/5/2023,2210.29,5.9
7/3/2023,2217.54,5.84
6/30/2023,2223.1,5.84
6/29/2023,2217.54,5.92
6/28/2023,2235.07,5.5
6/27/2023,2229.24,5.45
6/26/2023,2234.84,5.44
6/23/2023,2231.48,5.51
6/22/2023,2224.28,5.48
6/21/2023,2234.53,5.63
6/20/2023,2233.04,5.63
6/16/2023,2227.36,5.7
6/15/2023,2233.09,5.75
6/14/2023,2222.72,5.51
6/13/2023,2219.97,5.73
6/12/2023,2231.1,6.38
6/9/2023,2227.75,6.92
6/8/2023,2232.29,7.16
6/7/2023,2222.51,7.17
6/6/2023,2233.79,7.09
6/5/2023,2232.47,7.55
6/2/2023,2231.9,7.65
6/1/2023,2244.81,7.47
5/31/2023,2239.92,7.55
5/30/2023,2232.5,7.48
5/26/2023,2215.69,7.1
5/25/2023,2216.98,7.21
5/24/2023,2226.93,7.21
5/23/2023,2231.92,7.21
5/22/2023,2230.01,7.22
5/19/2023,2232.13,7.22
5/18/2023,2238.3,7.19
5/17/2023,2248.66,7.27
5/16/2023,2254.07,7.25
5/15/2023,2259.07,7.3
5/12/2023,2263.93,7.41
5/11/2023,2273.02,7.37
5/10/2023,2266.82,7.47
5/9/2023,2254.47,7.3
5/8/2023,2256.93,7.31
5/5/2023,2267.61,7.15
5/4/2023,2276.46,7.63
5/3/2023,2278.07,7.63
5/2/2023,2267.24,7.58
5/1/2023,2245.16,7.48
