Security,MOVE Index,
Start Date,5/30/25 0:00,
End Date,7/21/25 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,VOLATILITY_30D
7/21/25,86.62,57.64
7/18/25,83.29,58.35
7/17/25,85.57,58.26
7/16/25,89.52,57.47
7/15/25,88.95,59.12
7/14/25,90.73,60.13
7/11/25,85.48,57.18
7/10/25,81.58,55.08
7/9/25,84.31,56.09
7/8/25,88.05,55.38
7/7/25,88.53,55.67
7/3/25,86.09,55.14
7/2/25,91.37,52.67
7/1/25,93.48,52.71
6/30/25,90.26,56.14
6/27/25,87.93,55.66
6/26/25,89.47,55.75
6/25/25,91.24,55.61
6/24/25,92.62,55.97
6/23/25,95.03,56.16
6/20/25,90.1,53.87
6/18/25,93.64,52.83
6/17/25,97.18,54.77
6/16/25,93.48,53.58
6/13/25,95.31,54.26
6/12/25,88.99,52.03
6/11/25,89.36,53.41
6/10/25,91.22,53.34
6/9/25,92.62,53.9
6/6/25,89.65,54.36
6/5/25,94.65,52.55
6/4/25,96.98,56.26
6/3/25,100,55.82
6/2/25,95.76,58.23
5/30/25,92.11,67.78
5/29/25,92.67,68.5
5/28/25,93.2,68.69
5/27/25,97.93,70.7
5/23/25,100.91,70.87
5/22/25,99.47,74.27
5/21/25,102.1,74.09
5/20/25,101.37,77.17
5/19/25,103.81,77.56
5/16/25,96.7,79.38
5/15/25,98.65,87.58
5/14/25,100.73,88.98
5/13/25,100.13,89.11
5/12/25,102.9,89.31
5/9/25,100.4,90.06
5/8/25,98.66,91.76
5/7/25,99.87,91.67
5/6/25,106.18,89.88
5/5/25,104.45,90.03
5/2/25,101.4,89.67
5/1/25,107.33,87.92
4/30/25,112.48,87.35
4/29/25,112.27,89.38
4/28/25,110.01,89.91
4/25/25,105.79,89.33
4/24/25,108.28,90.37
4/23/25,116.6,87.49
4/22/25,118.35,92.34
4/21/25,128.56,88.71
4/17/25,114.64,84.83
4/16/25,119.4,84.92
4/15/25,122.56,85.25
4/14/25,132.46,82.68
4/11/25,137.26,81.89
4/10/25,128.35,79.9
4/9/25,128.83,82.86
4/8/25,139.88,78.15
4/7/25,137.3,78.13
4/4/25,125.71,78.14
4/3/25,112,72.59
4/2/25,106.39,73.3
4/1/25,104.73,73.53
3/31/25,101.35,73.24
3/28/25,96.83,72.25
3/27/25,91.03,70.04
3/26/25,91.41,70.45
3/25/25,93.57,70.07
3/24/25,95.22,70.28
3/21/25,94.54,72.75
3/20/25,95.74,72.69
3/19/25,91.4,71.33
3/18/25,96.68,70.67
3/17/25,99.78,71.2
3/14/25,101.01,71.4
3/13/25,106.19,69.5
3/12/25,104.11,69.4
3/11/25,114.6,62.67
3/10/25,112.5,63.23
3/7/25,104.41,65.1
3/6/25,108.95,63.86
3/5/25,104.32,63.19
3/4/25,108.87,66
3/3/25,105.65,65.56
2/28/25,104.46,66.03
2/27/25,96.27,61.51
2/26/25,97.52,67.36
2/25/25,96.61,67.39
2/24/25,88.44,65.22
2/21/25,91.83,64.98
2/20/25,86.26,61.75
2/19/25,83.86,60.99
2/18/25,84.51,63.23
2/14/25,84.67,65.16
2/13/25,84.57,65.82
2/12/25,86.58,65.78
2/11/25,85.58,65.59
2/10/25,87.68,66.92
2/7/25,93.13,64.5
2/6/25,93.9,64.68
2/5/25,94.68,64.74
2/4/25,90.28,64.48
2/3/25,94.15,63.33
1/31/25,91.76,63.77
1/30/25,90.54,64.65
1/29/25,90.73,64.66
1/28/25,92.83,66.61
1/27/25,95.05,66.79
1/24/25,86.75,61.16
1/23/25,88.51,66.72
1/22/25,89.9,68.29
1/21/25,96.78,64.57
1/17/25,95.6,71.12
1/16/25,92.72,70.6
1/15/25,93.1,71.41
1/14/25,101.99,66.12
1/13/25,103.51,66.34
1/10/25,96.57,63.56
1/9/25,99.73,62.96
1/8/25,100.76,62.92
1/7/25,102.78,62.65
1/6/25,97.89,61.43
1/3/25,93.35,60.89
1/2/25,96.67,60.41
12/31/24,98.8,60.9
12/30/24,99.08,60.9
12/27/24,94.8,60.07
12/26/24,95.2,60.52
12/24/24,96.95,62.91
12/23/24,95.85,68.04
12/20/24,91.75,67.57
12/19/24,90.41,75.94
12/18/24,87.21,79.62
12/17/24,90.42,79.85
12/16/24,90.88,80.77
12/13/24,85.66,77.62
12/12/24,82.66,77.45
12/11/24,82.4,77.27
12/10/24,90.1,74.13
12/9/24,85.63,72.19
12/6/24,83.2,71.29
12/5/24,91.48,66.81
12/4/24,92.25,66.88
12/3/24,95.6,66.58
12/2/24,97.81,68.55
11/29/24,95.22,67.89
11/27/24,97.74,67.74
11/26/24,99.18,68.55
11/25/24,99.96,72.61
11/22/24,99.14,72.79
11/21/24,101.9,73.66
11/20/24,106.69,72.66
11/19/24,105.12,72.4
11/18/24,102.01,97.76
11/15/24,102.47,97.8
11/14/24,99.43,97.41
11/13/24,102.08,97.25
11/12/24,108.55,99.52
11/8/24,99.85,96.66
11/7/24,104.08,95.92
11/6/24,117.64,87.74
11/5/24,130.43,81.12
11/4/24,136.25,79.51
11/1/24,132.58,79.58
10/31/24,135.18,79.52
10/30/24,130.8,82.38
10/29/24,131.87,83.06
10/28/24,130.92,83.08
10/25/24,128.4,83.02
10/24/24,127.48,83.18
10/23/24,129.05,85.3
10/22/24,129.26,86.61
10/21/24,128.95,87.04
10/18/24,123.13,86.68
10/17/24,122.14,89.38
10/16/24,121.86,90.15
10/15/24,127.23,89.92
10/11/24,118.47,89.07
10/10/24,116.56,89
10/9/24,122.39,87.83
10/8/24,123.77,87.75
10/7/24,124.23,87.9
10/4/24,100.15,59.07
10/3/24,101.16,59.5
10/2/24,102.17,59.88
10/1/24,104.14,59.68
9/30/24,94.61,51.6
9/27/24,92.53,55.63
9/26/24,90.14,54.87
9/25/24,91.64,55.09
9/24/24,93.3,63.02
9/23/24,93.87,63.09
9/20/24,91,68.48
9/19/24,92.64,68.51
9/18/24,98.61,66.42
9/17/24,101.58,67.83
9/16/24,101.22,67.85
9/13/24,100.6,72.2
9/12/24,98.03,77.91
9/11/24,103.79,76.28
9/10/24,108.36,75.12
9/9/24,104.61,74.6
9/6/24,107.24,74.16
9/5/24,114.81,71.01
9/4/24,119.15,70.69
9/3/24,114.2,69.92
8/30/24,107.77,68.07
8/29/24,106.7,68.05
8/28/24,108.76,67.92
8/27/24,109.22,67.86
8/26/24,106.66,68.54
8/23/24,105.63,68.59
8/22/24,108.5,72.05
8/21/24,111.38,72.36
8/20/24,111.57,73.49
8/19/24,110.13,74.17
8/16/24,102.81,71.92
8/15/24,103.74,71.91
8/14/24,106.34,72.58
8/13/24,118.44,65.93
8/12/24,118.26,65.98
8/9/24,108.26,64.46
8/8/24,110.42,64.53
8/7/24,112.69,64.63
8/6/24,119.24,61.77
8/5/24,121.22,61.41
8/2/24,112.26,57.65
8/1/24,101.82,50.19
7/31/24,99.41,51.32
7/30/24,100.42,51.34
7/29/24,98.65,51.16
7/26/24,97.76,57.28
7/25/24,99.08,57.08
7/24/24,94.81,58.43
7/23/24,95.04,59.27
7/22/24,94.45,59.72
7/19/24,94.29,66.29
7/18/24,91.97,65.83
7/17/24,91,66.18
7/16/24,93.87,68.54
7/15/24,94.5,69.09
7/12/24,86.79,64.01
7/11/24,89.67,63.73
7/10/24,92.97,64.03
7/9/24,95.62,66.58
7/8/24,97.96,66.86
7/5/24,98.78,67.73
7/3/24,102.83,67.36
7/2/24,107.51,66.59
7/1/24,106.23,66.85
6/28/24,98.59,64.04
6/27/24,95.69,63.83
6/26/24,97.91,74.28
6/25/24,96.97,74.31
6/24/24,95.2,81.65
6/21/24,94.09,81.58
6/20/24,94.14,81.77
6/18/24,97.99,81.23
6/17/24,99.07,81.88
6/14/24,100.16,81.96
6/13/24,91.93,78.93
6/12/24,91.73,78.92
6/11/24,97.27,79.4
6/10/24,94.16,78.94
6/7/24,91.82,78.54
6/6/24,100.99,74.19
6/5/24,102.43,74.21
6/4/24,100.11,74.5
6/3/24,93.92,71.71
5/31/24,91.14,71.09
5/30/24,91.09,71.65
5/29/24,93.45,72.22
5/28/24,89.67,71.99
5/24/24,83.57,67.54
5/23/24,86.15,71.8
5/22/24,82.49,71.31
5/21/24,85.34,70.91
5/20/24,88.13,78.12
5/17/24,89.35,78.07
5/16/24,91.83,79.45
5/15/24,93.78,79.41
5/14/24,106.55,69.29
5/13/24,105.35,69.32
5/10/24,94.23,61.08
5/9/24,93.85,66.37
5/8/24,95.58,66.05
5/7/24,98.04,67.39
5/6/24,94.5,66.8
5/3/24,95.96,66.7
5/2/24,100.7,64.87
5/1/24,100.64,65.28
4/30/24,107.46,66.3
4/29/24,105.42,66.72
4/26/24,104.4,68.31
4/25/24,108.55,67.2
4/24/24,110.21,67.07
4/23/24,106.85,68.04
4/22/24,108.56,69.66
4/19/24,111.26,71.08
4/18/24,108.66,72.18
4/17/24,113.29,70.95
4/16/24,119.59,70.42
4/15/24,121.15,70.25
4/12/24,112.82,67.54
4/11/24,108.86,67.15
4/10/24,109.59,67.13
4/9/24,98.73,59.04
4/8/24,99.37,59.05
4/5/24,94.31,57.07
4/4/24,96.13,59.73
4/3/24,97.88,59.85
4/2/24,96.57,60.47
4/1/24,94.2,60.15
3/28/24,86.38,53.25
3/27/24,86.28,53.25
3/26/24,90.63,51.78
3/25/24,92.24,52.94
3/22/24,91.04,53.94
3/21/24,90.82,54.11
3/20/24,92.72,54.06
3/19/24,99.99,49.92
3/18/24,102.87,49.68
3/15/24,97.82,47.43
3/14/24,98.67,50.96
3/13/24,97.03,54.21
3/12/24,101.36,53.55
3/11/24,106.63,51.65
3/8/24,100.88,52.03
3/7/24,105.45,52.97
3/6/24,105.33,52.97
3/5/24,110.33,51.32
3/4/24,109.57,51.33
3/1/24,106.48,50.89
2/29/24,109.1,50.76
2/28/24,108.71,50.89
2/27/24,110.8,54.78
2/26/24,110.77,58.02
2/23/24,108.31,58.28
2/22/24,115.59,57.57
2/21/24,114.27,59.3
2/20/24,111.02,59.01
2/16/24,109.2,58.92
2/15/24,112.09,59.68
2/14/24,111.97,60.15
2/13/24,113.22,60.29
2/12/24,109.78,67.55
2/9/24,106.21,66.76
2/8/24,108.6,66.5
2/7/24,107.86,66.52
2/6/24,110.6,67.35
2/5/24,108.68,67.14
2/2/24,106.72,66.88
2/1/24,113.92,64.46
1/31/24,107.28,62.21
1/30/24,104.26,61.97
1/29/24,106.34,61.96
1/26/24,100.23,60.2
1/25/24,105.89,59.29
1/24/24,105.78,62.07
1/23/24,107.7,63.48
1/22/24,106.87,65.85
1/19/24,104.97,66.78
1/18/24,107.22,66.71
