Security,SP5IGBIT Index,
Start Date,12/30/1994 0:00,
End Date,6/6/2025 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
6/6/2025,474.38,474.38
6/5/2025,476.57,476.57
6/4/2025,477.21,477.21
6/3/2025,474.33,474.33
6/2/2025,473.91,473.91
5/30/2025,475.34,475.34
5/29/2025,474.16,474.16
5/28/2025,472.42,472.42
5/27/2025,473.07,473.07
5/23/2025,470.33,470.33
5/22/2025,469.74,469.74
5/21/2025,469.22,469.22
5/20/2025,471.98,471.98
5/19/2025,472.28,472.28
5/16/2025,472.35,472.35
5/15/2025,471.8,471.8
5/14/2025,470.03,470.03
5/13/2025,471.14,471.14
5/12/2025,471.09,471.09
5/9/2025,471.94,471.94
5/8/2025,471.72,471.72
5/7/2025,473.56,473.56
5/6/2025,472.47,472.47
5/5/2025,471.64,471.64
5/2/2025,472.37,472.37
5/1/2025,473.77,473.77
4/30/2025,475.64,475.64
4/29/2025,476.71,476.71
4/28/2025,475.69,475.69
4/25/2025,474.29,474.29
4/24/2025,472.18,472.18
4/23/2025,469.95,469.95
4/22/2025,467.83,467.83
4/21/2025,467.03,467.03
4/18/2025,469.73,469.73
4/17/2025,469.67,469.67
4/16/2025,470.61,470.61
4/15/2025,468.81,468.81
4/14/2025,467.66,467.66
4/11/2025,464.42,464.42
4/10/2025,465.43,465.43
4/9/2025,466.73,466.73
4/8/2025,468.49,468.49
4/7/2025,471.12,471.12
4/4/2025,477.03,477.03
4/3/2025,478.06,478.06
4/2/2025,476.68,476.68
4/1/2025,476.69,476.69
3/31/2025,475.67,475.67
3/28/2025,474.39,474.39
3/27/2025,472.26,472.26
3/26/2025,472.97,472.97
3/25/2025,474.17,474.17
3/24/2025,473.71,473.71
3/21/2025,475.28,475.28
3/20/2025,476.37,476.37
3/19/2025,475.51,475.51
3/18/2025,473.92,473.92
3/17/2025,473.3,473.3
3/14/2025,472.32,472.32
3/13/2025,472.65,472.65
3/12/2025,472.23,472.23
3/11/2025,473.66,473.66
3/10/2025,475.57,475.57
3/7/2025,473.87,473.87
3/6/2025,474.72,474.72
3/5/2025,475.22,475.22
3/4/2025,476.07,476.07
3/3/2025,478.07,478.07
2/28/2025,476.92,476.92
2/27/2025,475.74,475.74
2/26/2025,476.46,476.46
2/25/2025,475.57,475.57
2/24/2025,472.99,472.99
2/21/2025,471.88,471.88
2/20/2025,470.04,470.04
2/19/2025,469.44,469.44
2/18/2025,469.17,469.17
2/14/2025,470.55,470.55
2/13/2025,468.82,468.82
2/12/2025,466.13,466.13
2/11/2025,468.07,468.07
2/10/2025,469.03,469.03
2/7/2025,469.27,469.27
2/6/2025,470.7,470.7
2/5/2025,471.16,471.16
2/4/2025,468.57,468.57
2/3/2025,467.72,467.72
1/31/2025,467.57,467.57
1/30/2025,468.31,468.31
1/29/2025,467.58,467.58
1/28/2025,468.19,468.19
1/27/2025,468.08,468.08
1/24/2025,465.75,465.75
1/23/2025,464.93,464.93
1/22/2025,466.02,466.02
1/21/2025,466.62,466.62
1/17/2025,464.85,464.85
1/16/2025,464.69,464.69
