Security,SPTR Index,
Start Date,5/30/25 0:00,
End Date,7/21/25 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,VOLATILITY_30D
7/21/25,13943.162,8.93
7/18/25,13923.349,9.29
7/17/25,13923.748,9.53
7/16/25,13849.172,9.48
7/15/25,13805.085,9.55
7/14/25,13858.618,9.41
7/11/25,13839.113,9.43
7/10/25,13884.89,9.3
7/9/25,13844.917,9.59
7/8/25,13761.331,11
7/7/25,13771.11,11.3
7/3/25,13879.976,10.89
7/2/25,13763.035,12.09
7/1/25,13697.681,12.16
6/30/25,13712.709,12.14
6/27/25,13641.1,12.2
6/26/25,13569.287,12.18
6/25/25,13461.166,12.01
6/24/25,13461.103,12.14
6/23/25,13312.753,14.99
6/20/25,13185.844,14.83
6/18/25,13213.877,14.82
6/17/25,13217.517,14.82
6/16/25,13328.429,14.78
6/13/25,13202.257,14.82
6/12/25,13350.848,14.74
6/11/25,13299.872,14.78
6/10/25,13336.289,14.69
6/9/25,13263.132,14.69
6/6/25,13249.813,14.7
6/5/25,13113.475,14.58
6/4/25,13181.974,15.24
6/3/25,13180.445,15.67
6/2/25,13104.244,16.84
5/30/25,13049.127,18.9
5/29/25,13049.008,13049.008
5/28/25,12996.665,12996.665
5/27/25,13069.33,13069.33
5/23/25,12806.236,12806.236
5/22/25,12891.952,12891.952
5/21/25,12897.425,12897.425
5/20/25,13108.518,13108.518
5/19/25,13159.309,13159.309
5/16/25,13145.882,13145.882
5/15/25,13052.719,13052.719
5/14/25,12995.784,12995.784
5/13/25,12981.89,12981.89
5/12/25,12888.129,12888.129
5/9/25,12480.313,12480.313
5/8/25,12486.998,12486.998
5/7/25,12414.985,12414.985
5/6/25,12361.157,12361.157
5/5/25,12456.835,12456.835
5/2/25,12536.2,12536.2
5/1/25,12353.874,12353.874
4/30/25,12276.393,12276.393
4/29/25,12257.272,12257.272
4/28/25,12186.517,12186.517
4/25/25,12178.492,12178.492
4/24/25,12089.305,12089.305
4/23/25,11849.25,11849.25
4/22/25,11654.828,11654.828
4/21/25,11368.985,11368.985
4/17/25,11642.397,11642.397
4/16/25,11626.79,11626.79
4/15/25,11892.994,11892.994
4/14/25,11912.446,11912.446
4/11/25,11818.527,11818.527
4/10/25,11608.215,11608.215
4/9/25,12022.214,12022.214
4/8/25,10977.501,10977.501
4/7/25,11152.56,11152.56
4/4/25,11178.475,11178.475
4/3/25,11887.153,11887.153
4/2/25,12491.096,12491.096
4/1/25,12407.255,12407.255
3/31/25,12360.206,12360.206
3/28/25,12290.858,12290.858
3/27/25,12537.925,12537.925
3/26/25,12579.484,12579.484
3/25/25,12721.412,12721.412
3/24/25,12700.91,12700.91
3/21/25,12480.594,12480.594
3/20/25,12469.966,12469.966
3/19/25,12495.744,12495.744
3/18/25,12362.155,12362.155
3/17/25,12494.816,12494.816
3/14/25,12414.284,12414.284
3/13/25,12153.331,12153.331
3/12/25,12323.497,12323.497
3/11/25,12263.307,12263.307
3/10/25,12356.688,12356.688
3/7/25,12696.9,12696.9
3/6/25,12625.312,12625.312
3/5/25,12853.994,12853.994
3/4/25,12711.863,12711.863
3/3/25,12868.954,12868.954
2/28/25,13098.216,13098.216
2/27/25,12892.199,12892.199
2/26/25,13099.912,13099.912
2/25/25,13097.848,13097.848
2/24/25,13159.207,13159.207
2/21/25,13224.446,13224.446
2/20/25,13453.539,13453.539
2/19/25,13510.289,13510.289
2/18/25,13478.021,13478.021
2/14/25,13443.097,13443.097
2/13/25,13440.933,13440.933
2/12/25,13302.102,13302.102
2/11/25,13337.003,13337.003
2/10/25,13332.15,13332.15
2/7/25,13241.34,13241.34
2/6/25,13366.96,13366.96
2/5/25,13318.43,13318.43
2/4/25,13266.45,13266.45
2/3/25,13171.21,13171.21
1/31/25,13271.383,13271.383
1/30/25,13337.851,13337.851
1/29/25,13267.655,13267.655
1/28/25,13329.949,13329.949
1/27/25,13208.193,13208.193
1/24/25,13403.506,13403.506
1/23/25,13440.609,13440.609
1/22/25,13369.361,13369.361
1/21/25,13287.579,13287.579
1/17/25,13171.751,13171.751
1/16/25,13041.194,13041.194
1/15/25,13068.565,13068.565
1/14/25,12832.285,12832.285
1/13/25,12817.561,12817.561
1/10/25,12797.392,12797.392
1/8/25,12995.133,12995.133
1/7/25,12974.588,12974.588
1/6/25,13120.136,13120.136
1/3/25,13046.885,13046.885
1/2/25,12883.578,12883.578
12/31/24,12911.822,12911.822
12/30/24,12966.219,12966.219
12/27/24,13106.387,13106.387
12/26/24,13251.764,13251.764
12/24/24,13256.066,13256.066
12/23/24,13111.299,13111.299
12/20/24,13015.664,13015.664
12/19/24,12875.087,12875.087
12/18/24,12886.209,12886.209
12/17/24,13277.55,13277.55
12/16/24,13328.776,13328.776
12/13/24,13276.555,13276.555
12/12/24,13275.237,13275.237
12/11/24,13347.506,13347.506
12/10/24,13239.205,13239.205
12/9/24,13278.294,13278.294
12/6/24,13358.495,13358.495
12/5/24,13323.742,13323.742
12/4/24,13347.878,13347.878
12/3/24,13267.329,13267.329
12/2/24,13261.075,13261.075
11/29/24,13227.133,13227.133
11/27/24,13152.078,13152.078
11/26/24,13201.469,13201.469
11/25/24,13125.464,13125.464
11/22/24,13085.856,13085.856
11/21/24,13040.083,13040.083
11/20/24,12968.848,12968.848
11/19/24,12968.157,12968.157
11/18/24,12916.8,12916.8
11/15/24,12864.417,12864.417
11/14/24,13034.788,13034.788
11/13/24,13112.574,13112.574
11/12/24,13108.952,13108.952
11/11/24,13146.197,13146.197
11/8/24,13133.471,13133.471
11/7/24,13081.531,13081.531
11/6/24,12984.731,12984.731
11/5/24,12664.324,12664.324
11/4/24,12510.735,12510.735
11/1/24,12545.402,12545.402
10/31/24,12493.736,12493.736
10/30/24,12729.727,12729.727
10/29/24,12771.803,12771.803
10/28/24,12751.222,12751.222
10/25/24,12717.34,12717.34
10/24/24,12721.046,12721.046
10/23/24,12693.816,12693.816
10/22/24,12811.359,12811.359
10/21/24,12817.388,12817.388
10/18/24,12840.3,12840.3
10/17/24,12788.783,12788.783
10/16/24,12790.843,12790.843
10/15/24,12731.098,12731.098
10/14/24,12827.63,12827.63
10/11/24,12729.523,12729.523
10/10/24,12652.837,12652.837
10/9/24,12677.158,12677.158
10/8/24,12587.255,12587.255
10/7/24,12466.41,12466.41
10/4/24,12586.911,12586.911
10/3/24,12472.387,12472.387
10/2/24,12493.354,12493.354
10/1/24,12490.872,12490.872
9/30/24,12608.074,12608.074
9/27/24,12553.777,12553.777
9/26/24,12569.128,12569.128
9/25/24,12517.819,12517.819
9/24/24,12541.089,12541.089
9/23/24,12509.614,12509.614
9/20/24,12474.443,12474.443
9/19/24,12498.593,12498.593
9/18/24,12289.264,12289.264
9/17/24,12324.746,12324.746
9/16/24,12321.21,12321.21
9/13/24,12303.263,12303.263
9/12/24,12235.061,12235.061
9/11/24,12143.849,12143.849
9/10/24,12015.574,12015.574
9/9/24,11961.745,11961.745
9/6/24,11823.57,11823.57
9/5/24,12029.719,12029.719
9/4/24,12065.691,12065.691
9/3/24,12084.565,12084.565
8/30/24,12344.432,12344.432
8/29/24,12219.383,12219.383
8/28/24,12219.231,12219.231
8/27/24,12292.636,12292.636
8/26/24,12272.084,12272.084
8/23/24,12310.629,12310.629
8/22/24,12170.711,12170.711
8/21/24,12280.181,12280.181
8/20/24,12227.799,12227.799
8/19/24,12251.743,12251.743
8/16/24,12132.477,12132.477
8/15/24,12106.682,12106.682
8/14/24,11911.024,11911.024
8/13/24,11865.291,11865.291
8/12/24,11668.585,11668.585
8/9/24,11666.495,11666.495
8/8/24,11610.837,11610.837
8/7/24,11349.243,11349.243
8/6/24,11437.32,11437.32
8/5/24,11319.961,11319.961
8/2/24,11669.184,11669.184
8/1/24,11887.543,11887.543
7/31/24,12052.089,12052.089
7/30/24,11863.801,11863.801
7/29/24,11922.885,11922.885
7/26/24,11913.041,11913.041
7/25/24,11781.57,11781.57
7/24/24,11842.356,11842.356
7/23/24,12122.83,12122.83
7/22/24,12141.746,12141.746
7/19/24,12011.607,12011.607
7/18/24,12097.246,12097.246
7/17/24,12192.492,12192.492
7/16/24,12364.555,12364.555
7/15/24,12286.051,12286.051
7/12/24,12250.189,12250.189
7/11/24,12182.974,12182.974
7/10/24,12290.212,12290.212
7/9/24,12164.567,12164.567
7/8/24,12155.274,12155.274
7/5/24,12142.535,12142.535
7/3/24,12074.827,12074.827
7/2/24,12013.401,12013.401
7/1/24,11939.38,11939.38
6/28/24,11907.15,11907.15
6/27/24,11954.505,11954.505
6/26/24,11943.529,11943.529
6/25/24,11924.752,11924.752
6/24/24,11878.039,11878.039
6/21/24,11913.782,11913.782
6/20/24,11931.803,11931.803
6/18/24,11961.931,11961.931
6/17/24,11931.476,11931.476
6/14/24,11839.267,11839.267
6/13/24,11841.023,11841.023
6/12/24,11813.175,11813.175
6/11/24,11713.296,11713.296
6/10/24,11681.543,11681.543
6/7/24,11650.491,11650.491
6/6/24,11661.368,11661.368
6/5/24,11663.549,11663.549
6/4/24,11526.805,11526.805
6/3/24,11508.887,11508.887
5/31/24,11494.696,11494.696
5/30/24,11402.102,11402.102
5/29/24,11469.46,11469.46
5/28/24,11554.451,11554.451
5/24/24,11551.562,11551.562
5/23/24,11470.978,11470.978
5/22/24,11555.842,11555.842
5/21/24,11587.053,11587.053
5/20/24,11557.843,11557.843
5/17/24,11546.276,11546.276
5/16/24,11532.357,11532.357
5/15/24,11554.043,11554.043
5/14/24,11418.124,11418.124
5/13/24,11361.463,11361.463
5/10/24,11364.037,11364.037
5/9/24,11343.547,11343.547
5/8/24,11283.914,11283.914
5/7/24,11283.955,11283.955
5/6/24,11268.23,11268.23
5/3/24,11152.757,11152.757
5/2/24,11013.913,11013.913
5/1/24,10914.108,10914.108
4/30/24,10951.662,10951.662
4/29/24,11126.281,11126.281
4/26/24,11090.464,11090.464
4/25/24,10978.198,10978.198
4/24/24,11028.459,11028.459
4/23/24,11026.059,11026.059
4/22/24,10895.467,10895.467
4/19/24,10801.161,10801.161
4/18/24,10896.071,10896.071
4/17/24,10919.492,10919.492
4/16/24,10982.993,10982.993
4/15/24,11005.608,11005.608
4/12/24,11139.383,11139.383
4/11/24,11302.526,11302.526
4/10/24,11218.732,11218.732
4/9/24,11325.631,11325.631
4/8/24,11307.658,11307.658
4/5/24,11311.703,11311.703
4/4/24,11187.49,11187.49
4/3/24,11325.781,11325.781
4/2/24,11312.903,11312.903
4/1/24,11395.078,11395.078
3/28/24,11418.026,11418.026
3/27/24,11404.945,11404.945
3/26/24,11306.012,11306.012
