Security,USGG10YR Index,
Start Date,1/2/1962 0:00,
End Date,7/25/2025 0:00,
Period,D,
,,
Date,PX_LAST,VOLATILITY_30D
7/25/2025,4.4118,13.725
7/24/2025,4.3957,14.0738
7/23/2025,4.3798,14.2942
7/22/2025,4.344,14.6694
7/21/2025,4.3777,14.8577
7/18/2025,4.4155,14.6561
7/17/2025,4.4513,14.6108
7/16/2025,4.4553,16.5911
7/15/2025,4.4813,16.622
7/14/2025,4.4333,17.7358
7/11/2025,4.4093,17.6822
7/10/2025,4.3498,17.396
7/9/2025,4.332,17.3707
7/8/2025,4.3992,17.2173
7/7/2025,4.3794,17.3246
7/4/2025,4.3457,17.6594
7/3/2025,4.3457,17.6719
7/2/2025,4.2769,17.2898
7/1/2025,4.2416,18.851
6/30/2025,4.228,19.0686
6/27/2025,4.2769,18.8927
6/26/2025,4.2417,18.9959
6/25/2025,4.2906,19.8897
6/24/2025,4.2945,20.5895
6/23/2025,4.3475,20.3088
6/20/2025,4.3751,21.255
6/19/2025,4.3909,21.2262
6/18/2025,4.3909,22.5204
6/17/2025,4.3888,22.6137
6/16/2025,4.4462,22.5233
6/13/2025,4.3987,22.4281
6/12/2025,4.3592,23.1397
6/11/2025,4.4203,22.928
6/10/2025,4.4698,22.6058
6/9/2025,4.4738,22.8322
6/6/2025,4.5056,22.808
6/5/2025,4.3906,22.3964
6/4/2025,4.3552,22.7585
6/3/2025,4.4537,21.7474
6/2/2025,4.4399,21.7445
5/30/2025,4.4004,22.369
5/29/2025,4.418,22.3245
5/28/2025,4.4773,22.0959
5/27/2025,4.4436,22.438
5/23/2025,4.511,22.1276
5/22/2025,4.5287,23.5415
5/21/2025,4.5985,23.3985
5/20/2025,4.4869,23.1184
5/19/2025,4.4474,23.1213
5/16/2025,4.477,24.1174
5/15/2025,4.4315,27.4048
5/14/2025,4.5363,26.3907
5/13/2025,4.465,27.5161
5/12/2025,4.4709,27.7226
5/9/2025,4.3785,27.303
5/8/2025,4.3785,27.5306
5/7/2025,4.2694,27.588
5/6/2025,4.2946,27.5501
5/5/2025,4.3433,27.4761
5/2/2025,4.3083,27.407
5/1/2025,4.2176,27.3579
4/30/2025,4.1619,27.049
4/29/2025,4.1716,27.0449
4/28/2025,4.2082,27.0661
4/25/2025,4.2353,27.0232
4/24/2025,4.3149,26.4516
4/23/2025,4.3812,26.1847
4/22/2025,4.4008,26.3538
4/21/2025,4.4106,26.416
4/18/2025,4.3249,26.1854
4/17/2025,4.3249,26.9716
4/16/2025,4.2768,26.8059
4/15/2025,4.333,26.4991
4/14/2025,4.3739,26.4126
4/11/2025,4.4895,25.6898
4/10/2025,4.4249,25.818
4/9/2025,4.3315,25.4034
4/8/2025,4.2929,25.2708
4/7/2025,4.1835,24.1297
4/4/2025,3.9943,20.2621
4/3/2025,4.0286,20.2311
4/2/2025,4.1307,19.5308
4/1/2025,4.1689,19.4607
3/31/2025,4.2053,19.3808
3/28/2025,4.2494,20.0435
3/27/2025,4.3595,18.6375
3/26/2025,4.3519,18.8913
3/25/2025,4.3133,19.4152
3/24/2025,4.3346,20.3899
3/21/2025,4.2462,19.4707
3/20/2025,4.2369,19.4432
3/19/2025,4.2428,19.9961
3/18/2025,4.2831,19.8974
3/17/2025,4.2985,20.7406
3/14/2025,4.3121,20.8802
3/13/2025,4.2682,20.6149
3/12/2025,4.3124,20.5583
3/11/2025,4.2799,20.362
3/10/2025,4.2131,19.6177
3/7/2025,4.3011,18.7971
3/6/2025,4.2784,19.3452
3/5/2025,4.2785,19.3375
3/4/2025,4.2442,19.288
3/3/2025,4.1551,18.0996
2/28/2025,4.2082,18.0246
2/27/2025,4.2599,17.8322
2/26/2025,4.2562,17.8892
2/25/2025,4.2945,17.8831
2/24/2025,4.4003,18.5172
2/21/2025,4.4313,18.5565
2/20/2025,4.5053,18.1335
2/19/2025,4.5327,18.7541
2/18/2025,4.5503,18.7381
2/17/2025,4.4762,17.9564
2/14/2025,4.4762,18.3953
2/13/2025,4.5288,18.2551
2/12/2025,4.6208,17.3911
2/11/2025,4.5352,16.4583
2/10/2025,4.4968,16.2324
2/7/2025,4.4947,16.4308
2/6/2025,4.4342,16.8959
2/5/2025,4.4181,17.1355
2/4/2025,4.5105,16.0411
2/3/2025,4.555,15.7849
1/31/2025,4.5387,15.7422
1/30/2025,4.5163,16.2605
1/29/2025,4.5284,16.4545
1/28/2025,4.5323,16.7704
1/27/2025,4.5343,18.4525
1/24/2025,4.6214,17.3745
1/23/2025,4.6436,17.2669
1/22/2025,4.6109,17.703
1/21/2025,4.5764,17.9413
1/20/2025,4.627,17.6044
1/17/2025,4.627,17.5969
1/16/2025,4.6125,17.7679
1/15/2025,4.6531,17.5866
1/14/2025,4.7924,14.3578
1/13/2025,4.7779,15.0678
1/10/2025,4.7592,15.1153
1/9/2025,4.6893,14.7695
1/8/2025,4.6892,16.7481
1/7/2025,4.685,16.762
1/6/2025,4.63,16.998
1/3/2025,4.5975,17.0159
1/2/2025,4.559,19.3857
1/1/2025,4.569,19.4466
12/31/2024,4.569,19.4487
12/30/2024,4.5327,19.3461
12/27/2024,4.6253,18.268
12/26/2024,4.5827,18.2385
12/25/2024,4.5887,18.2235
12/24/2024,4.5887,18.2756
12/23/2024,4.5865,18.319
12/20/2024,4.5222,19.6779
12/19/2024,4.5621,19.417
12/18/2024,4.514,19.3361
12/17/2024,4.3987,19.2749
12/16/2024,4.3967,22.2636
12/13/2024,4.3967,22.2988
