Security,USGGBE01 Index,
Start Date,1/11/2001 0:00,
End Date,6/23/2025 0:00,
Period,D,
,,
Date,PX_LAST,VOLATILITY_30D
6/23/2025,2.6331,30.455
6/20/2025,2.7177,40.9538
6/19/2025,2.669,40.4834
6/18/2025,2.669,40.737
6/17/2025,2.6588,40.6599
6/16/2025,2.5849,40.4214
6/13/2025,2.5978,40.4435
6/12/2025,2.5224,40.5857
6/11/2025,2.6045,40.0159
6/10/2025,2.724,38.3571
6/9/2025,2.774,38.2122
6/6/2025,2.7792,38.2253
6/5/2025,2.7523,38.0356
6/4/2025,2.7943,38.5009
6/3/2025,2.8505,38.2252
6/2/2025,2.8874,39.0627
5/30/2025,2.8417,39.2214
5/29/2025,2.82,39.0736
5/28/2025,2.9133,41.8742
5/27/2025,2.9289,42.0393
5/23/2025,2.9759,42.6537
5/22/2025,2.9419,43.2888
5/21/2025,2.9707,44.6531
5/20/2025,2.9174,50.312
5/19/2025,2.8847,50.2446
5/16/2025,2.8543,51.6529
5/15/2025,2.8373,52.2488
5/14/2025,2.8489,53.0833
5/13/2025,2.8014,53.2346
5/12/2025,2.8296,55.0207
5/9/2025,3.1202,46.8418
5/8/2025,3.1016,47.6263
5/7/2025,3.0686,47.4967
5/6/2025,3.0744,78.0989
5/5/2025,2.9989,77.8584
5/2/2025,3.0278,77.8858
5/1/2025,3.1648,77.0821
4/30/2025,3.1527,77.0454
4/29/2025,3.2042,76.9958
4/28/2025,3.2427,77.1496
4/25/2025,3.2445,77.1929
4/24/2025,3.2342,77.1325
4/23/2025,3.1796,76.8096
4/22/2025,3.2062,76.8109
4/21/2025,3.1282,76.1581
4/18/2025,3.211,76.1888
4/17/2025,3.211,76.1869
4/16/2025,3.0404,73.7358
4/15/2025,3.0844,73.7673
4/14/2025,3.1767,73.502
4/11/2025,3.2775,73.1642
4/10/2025,3.1692,72.0943
4/9/2025,3.4441,68.3142
4/8/2025,3.5196,68.5433
4/7/2025,3.3937,67.3511
4/4/2025,3.3177,66.7618
4/3/2025,3.442,66.228
4/2/2025,3.3729,65.7381
4/1/2025,3.2396,64.3638
3/31/2025,3.2468,64.612
3/28/2025,3.1569,63.8544
3/27/2025,3.1596,63.8637
3/26/2025,3.8902,15.2431
3/25/2025,3.8206,14.6966
3/24/2025,3.8255,17.2664
3/21/2025,3.8368,19.1928
3/20/2025,3.8922,18.6746
3/19/2025,3.9175,20.2023
3/18/2025,3.8773,20.0919
3/17/2025,3.9429,19.1077
3/14/2025,3.967,18.8741
3/13/2025,4.0317,19.2258
3/12/2025,4.0586,20.6219
3/11/2025,4.0715,20.7806
3/10/2025,4.0287,20.7661
3/7/2025,4.0295,20.6353
3/6/2025,4.0333,20.5143
3/5/2025,4.0371,20.3471
3/4/2025,4.066,19.8021
3/3/2025,4.1014,19.3178
2/28/2025,4.0984,20.0202
2/27/2025,4.1148,19.8265
2/26/2025,4.037,19.5968
2/25/2025,4.0743,19.0432
2/24/2025,4.0871,18.8608
2/21/2025,4.0626,19.496
2/20/2025,4.0972,19.466
2/19/2025,4.0522,22.3828
2/18/2025,4.0046,22.7421
2/17/2025,3.9749,22.8606
2/14/2025,3.9749,22.5207
2/13/2025,3.9483,22.4336
2/12/2025,3.8992,22.5803
2/11/2025,3.7855,22.993
2/10/2025,3.6785,22.8097
2/7/2025,3.6455,22.8538
2/6/2025,3.5383,22.2823
2/5/2025,3.5259,23.1872
2/4/2025,3.5143,23.314
2/3/2025,3.4882,23.4779
1/31/2025,3.3859,22.8335
1/30/2025,3.2706,21.5116
1/29/2025,3.2907,21.0499
1/28/2025,3.2601,21.9243
1/27/2025,3.2357,22.7557
1/24/2025,3.2255,23.9328
1/23/2025,3.2058,24.5053
1/22/2025,3.1794,24.5461
1/21/2025,3.183,24.4508
1/20/2025,3.2162,24.534
1/17/2025,3.2162,24.4588
1/16/2025,3.1762,24.4095
1/15/2025,3.1186,24.8443
1/14/2025,3.1175,24.9316
1/13/2025,3.0366,24.1428
1/10/2025,2.9482,23.1294
1/9/2025,2.8093,19.6109
1/8/2025,2.8116,19.5825
1/7/2025,2.7516,18.7014
1/6/2025,2.7177,18.5764
1/3/2025,2.6814,18.4627
1/2/2025,2.6687,19.4389
1/1/2025,2.5771,16.1095
12/31/2024,2.5771,16.4172
12/30/2024,2.5603,17.3047
