Security,USOSFR10 BGN Curncy
Start Date,1/1/2007 0:00
End Date,7/25/2025 0:00
Period,D
Currency,USD
Pricing Source,BGN
,
Date,PX_LAST
7/25/2025,3.8779
7/24/2025,3.8631
7/23/2025,3.84645
7/22/2025,3.81235
7/21/2025,3.83735
7/18/2025,3.86869
7/17/2025,3.9
7/16/2025,3.8958
7/15/2025,3.922
7/14/2025,3.8773
7/11/2025,3.85425
7/10/2025,3.8015
7/9/2025,3.7829
7/8/2025,3.8491
7/7/2025,3.82685
7/3/2025,3.8013
7/2/2025,3.74105
7/1/2025,3.7129
6/30/2025,3.6865
6/27/2025,3.72846
6/26/2025,3.69065
6/25/2025,3.7397
6/24/2025,3.74425
6/23/2025,3.803
6/20/2025,3.83775
6/19/2025,3.856
6/18/2025,3.8541
6/17/2025,3.8616
6/16/2025,3.91365
6/13/2025,3.86364
6/12/2025,3.844
6/11/2025,3.9036
6/10/2025,3.94761
6/9/2025,3.9534
6/6/2025,3.97819
6/5/2025,3.87405
6/4/2025,3.8399
6/3/2025,3.9252
6/2/2025,3.8986
5/30/2025,3.8577
5/29/2025,3.871
5/28/2025,3.9225
5/27/2025,3.8892
5/23/2025,3.9444
5/22/2025,3.9785
5/21/2025,4.026
5/20/2025,3.9407
5/19/2025,3.9113
5/16/2025,3.95435
5/15/2025,3.91345
5/14/2025,4.0135
5/13/2025,3.94385
5/12/2025,3.95625
5/9/2025,3.84975
5/8/2025,3.84485
5/7/2025,3.73285
5/6/2025,3.7535
5/5/2025,3.80875
5/2/2025,3.77054
5/1/2025,3.6915
4/30/2025,3.6328
4/29/2025,3.6527
4/28/2025,3.695
4/25/2025,3.724
4/24/2025,3.8048
4/23/2025,3.852
4/22/2025,3.85105
4/21/2025,3.843
4/17/2025,3.79749
4/16/2025,3.75412
4/15/2025,3.81225
4/14/2025,3.8574
4/11/2025,3.93205
4/10/2025,3.86533
4/9/2025,3.809
4/8/2025,3.69022
4/7/2025,3.65825
4/4/2025,3.51005
4/3/2025,3.5607
4/2/2025,3.69405
4/1/2025,3.73099
3/31/2025,3.7613
3/28/2025,3.7981
3/27/2025,3.912
3/26/2025,3.9007
3/25/2025,3.8765
3/24/2025,3.899
3/21/2025,3.81505
3/20/2025,3.81325
3/19/2025,3.832
3/18/2025,3.87055
3/17/2025,3.89142
3/14/2025,3.9001
3/13/2025,3.84785
3/12/2025,3.8816
3/11/2025,3.838
3/10/2025,3.76846
3/7/2025,3.869
3/6/2025,3.8531
3/5/2025,3.8555
3/4/2025,3.8182
3/3/2025,3.7401
2/28/2025,3.7897
2/27/2025,3.8393
2/26/2025,3.842
2/25/2025,3.8859
2/24/2025,4.00345
2/21/2025,4.03574
2/20/2025,4.11037
2/19/2025,4.14611
2/18/2025,4.147
2/14/2025,4.0825
2/13/2025,4.15187
2/12/2025,4.23655
2/11/2025,4.11625
2/10/2025,4.07361
2/7/2025,4.07915
2/6/2025,4.002
2/5/2025,3.97503
2/4/2025,4.05412
2/3/2025,4.10249
1/31/2025,4.085
1/30/2025,4.06
1/29/2025,4.0679
1/28/2025,4.0682
1/27/2025,4.0705
1/24/2025,4.1572
1/23/2025,4.17162
1/22/2025,4.14665
1/21/2025,4.1236
1/17/2025,4.17205
1/16/2025,4.15605
1/15/2025,4.18943
1/14/2025,4.3214
1/13/2025,4.30145
1/10/2025,4.27345
1/9/2025,4.2005
1/8/2025,4.20728
1/7/2025,4.1995
1/6/2025,4.1475
1/3/2025,4.09495
1/2/2025,4.06202
12/31/2024,4.071
12/30/2024,4.0457
12/27/2024,4.1396
12/26/2024,4.09475
12/24/2024,4.09965
12/23/2024,4.1006
12/20/2024,4.0342
12/19/2024,4.07055
12/18/2024,4.023
12/17/2024,3.91694
12/16/2024,3.91119
12/13/2024,3.904
12/12/2024,3.84
12/11/2024,3.7825
12/10/2024,3.73615
12/9/2024,3.7184
12/6/2024,3.6745
12/5/2024,3.7014
12/4/2024,3.7065
12/3/2024,3.74895
12/2/2024,3.7219
11/29/2024,3.7055
11/28/2024,3.79
11/27/2024,3.7915
11/26/2024,3.8435
11/25/2024,3.79525
11/22/2024,3.89911
11/21/2024,3.92125
11/20/2024,3.9089
11/19/2024,3.89735
11/18/2024,3.9085
11/15/2024,3.9291
11/14/2024,3.93
11/13/2024,3.94095
11/12/2024,3.9242
11/8/2024,3.832
11/7/2024,3.8437
11/6/2024,3.93585
11/5/2024,3.75777
11/4/2024,3.7737
11/1/2024,3.86685
10/31/2024,3.7752
10/30/2024,3.80575
10/29/2024,3.76575
10/28/2024,3.79562
10/25/2024,3.763
10/24/2024,3.738
10/23/2024,3.7742
10/22/2024,3.737
10/21/2024,3.7299
10/18/2024,3.61815
10/17/2024,3.6221
10/16/2024,3.5496
10/15/2024,3.5625
10/11/2024,3.6255
10/10/2024,3.59445
10/9/2024,3.6089
10/8/2024,3.547
10/7/2024,3.56185
10/4/2024,3.4968
10/3/2024,3.3762
10/2/2024,3.3153
10/1/2024,3.26475
9/30/2024,3.315
9/27/2024,3.292
9/26/2024,3.33
9/25/2024,3.32
9/24/2024,3.2718
9/23/2024,3.2971
9/20/2024,3.2888
9/19/2024,3.257
9/18/2024,3.24705
9/17/2024,3.1885
9/16/2024,3.15849
9/13/2024,3.19
9/12/2024,3.205
9/11/2024,3.1855
9/10/2024,3.175
9/9/2024,3.2294
9/6/2024,3.245
9/5/2024,3.2685
9/4/2024,3.2947
9/3/2024,3.3681
8/30/2024,3.43675
8/29/2024,3.40324
8/28/2024,3.3886
8/27/2024,3.3756
8/26/2024,3.37115
8/23/2024,3.3642
8/22/2024,3.4145
8/21/2024,3.36655
8/20/2024,3.3635
8/19/2024,3.4282
8/16/2024,3.44475
8/15/2024,3.4729
8/14/2024,3.398
8/13/2024,3.4007
8/12/2024,3.4588
8/9/2024,3.4925
8/8/2024,3.53655
8/7/2024,3.49847
8/6/2024,3.45559
8/5/2024,3.35715
8/2/2024,3.357
8/1/2024,3.5485
7/31/2024,3.603
7/30/2024,3.7015
7/29/2024,3.7384
7/26/2024,3.75215
7/25/2024,3.792
7/24/2024,3.8345
7/23/2024,3.8157
7/22/2024,3.8164
7/19/2024,3.804
7/18/2024,3.7706
7/17/2024,3.72616
7/16/2024,3.7222
7/15/2024,3.78797
7/12/2024,3.7471
7/11/2024,3.7737
7/10/2024,3.86008
7/9/2024,3.8762
7/8/2024,3.8589
7/5/2024,3.8556
7/3/2024,3.938
7/2/2024,4.0108
7/1/2024,4.046
6/28/2024,3.97905
6/27/2024,3.87965
6/26/2024,3.925
6/25/2024,3.84315
6/24/2024,3.8246
6/21/2024,3.8556
6/20/2024,3.8623
6/19/2024,3.82272
6/18/2024,3.8218
6/17/2024,3.8818
6/14/2024,3.814
6/13/2024,3.8423
6/12/2024,3.93905
6/11/2024,4.02345
6/10/2024,4.087
6/7/2024,4.0532
6/6/2024,3.9119
6/5/2024,3.90068
6/4/2024,3.95664
6/3/2024,4.0225
5/31/2024,4.1291
5/30/2024,4.18
5/29/2024,4.24725
5/28/2024,4.184
5/24/2024,4.0925
5/23/2024,4.11395
5/22/2024,4.0599
5/21/2024,4.0468
5/20/2024,4.0808
5/17/2024,4.0573
5/16/2024,4.01525
5/15/2024,3.9785
5/14/2024,4.0732
5/13/2024,4.12
5/10/2024,4.127
5/9/2024,4.0854
5/8/2024,4.1151
5/7/2024,4.08002
5/6/2024,4.1054
5/3/2024,4.1335
5/2/2024,4.2096
5/1/2024,4.26217
4/30/2024,4.3101
4/29/2024,4.242
4/26/2024,4.2936
4/25/2024,4.3326
4/24/2024,4.2682
4/23/2024,4.227
4/22/2024,4.23
4/19/2024,4.2401
