Security,USOSFRC BGN Curncy
Start Date,1/1/2007 0:00
End Date,7/25/2025 0:00
Period,D
Currency,USD
Pricing Source,BGN
,
Date,PX_LAST
7/25/2025,4.31835
7/24/2025,4.31734
7/23/2025,4.316
7/22/2025,4.32028
7/21/2025,4.32321
7/18/2025,4.3191
7/17/2025,4.33426
7/16/2025,4.3309
7/15/2025,4.3373
7/14/2025,4.32666
7/11/2025,4.3192
7/10/2025,4.31945
7/9/2025,4.322
7/8/2025,4.3354
7/7/2025,4.3307
7/4/2025,4.329
7/3/2025,4.3315
7/2/2025,4.28208
7/1/2025,4.29925
6/30/2025,4.3019
6/27/2025,4.2969
6/26/2025,4.2932
6/25/2025,4.2961
6/24/2025,4.30837
6/23/2025,4.30738
6/20/2025,4.31662
6/19/2025,4.3284
6/18/2025,4.3261
6/17/2025,4.3251
6/16/2025,4.33115
6/13/2025,4.3123
6/12/2025,4.3097
6/11/2025,4.3143
6/10/2025,4.323
6/9/2025,4.32398
6/6/2025,4.32382
6/5/2025,4.3076
6/4/2025,4.3093
6/3/2025,4.3157
6/2/2025,4.31717
5/30/2025,4.31765
5/29/2025,4.32087
5/28/2025,4.3296
5/27/2025,4.3285
5/23/2025,4.327
5/22/2025,4.32762
5/21/2025,4.3275
5/20/2025,4.3271
5/19/2025,4.32535
5/16/2025,4.32265
5/15/2025,4.32081
5/14/2025,4.3251
5/13/2025,4.32541
5/12/2025,4.32528
5/9/2025,4.30991
5/8/2025,4.31098
5/7/2025,4.3062
5/6/2025,4.30076
5/5/2025,4.3081
5/2/2025,4.30203
5/1/2025,4.26765
4/30/2025,4.26585
4/29/2025,4.27186
4/28/2025,4.27876
4/25/2025,4.27665
4/24/2025,4.28355
4/23/2025,4.2924
4/22/2025,4.28503
4/21/2025,4.28136
4/17/2025,4.28485
4/16/2025,4.27076
4/15/2025,4.27922
4/14/2025,4.27822
4/11/2025,4.27239
4/10/2025,4.25625
4/9/2025,4.299
4/8/2025,4.1877
4/7/2025,4.2295
4/4/2025,4.207
4/3/2025,4.253
4/2/2025,4.28992
4/1/2025,4.2832
3/31/2025,4.287
3/28/2025,4.28494
3/27/2025,4.30046
3/26/2025,4.30183
3/25/2025,4.30775
3/24/2025,4.30775
3/21/2025,4.29711
3/20/2025,4.2997
3/19/2025,4.3015
3/18/2025,4.31008
3/17/2025,4.31035
3/14/2025,4.30137
3/13/2025,4.2922
3/12/2025,4.30044
3/11/2025,4.2947
3/10/2025,4.2854
3/7/2025,4.3062
3/6/2025,4.28914
3/5/2025,4.30375
3/4/2025,4.304
3/3/2025,4.29387
2/28/2025,4.306
2/27/2025,4.315
2/26/2025,4.3181
2/25/2025,4.316
2/24/2025,4.31615
2/21/2025,4.31348
2/20/2025,4.322
2/19/2025,4.3284
2/18/2025,4.33095
2/17/2025,4.326
2/14/2025,4.3261
2/13/2025,4.32347
2/12/2025,4.3268
2/11/2025,4.3219
2/10/2025,4.319
2/7/2025,4.31542
2/6/2025,4.3045
2/5/2025,4.30557
2/4/2025,4.3042
2/3/2025,4.30555
1/31/2025,4.3028
1/30/2025,4.304
1/29/2025,4.30392
1/28/2025,4.29076
1/27/2025,4.29295
1/24/2025,4.29641
1/23/2025,4.30067
1/22/2025,4.3035
1/21/2025,4.2995
1/20/2025,4.292
1/17/2025,4.29254
1/16/2025,4.2931
1/15/2025,4.2955
1/14/2025,4.3036
1/13/2025,4.3079
1/10/2025,4.30469
1/9/2025,4.28975
1/8/2025,4.293
1/7/2025,4.2935
1/6/2025,4.2891
1/3/2025,4.2909
1/2/2025,4.29325
12/31/2024,4.302
12/30/2024,4.3055
12/27/2024,4.31475
12/26/2024,4.3218
12/24/2024,4.33085
12/23/2024,4.3279
12/20/2024,4.3303
12/19/2024,4.33445
12/18/2024,4.347
12/17/2024,4.35785
12/16/2024,4.3588
12/13/2024,4.36235
12/12/2024,4.3563
12/11/2024,4.36776
12/10/2024,4.39605
12/9/2024,4.398
12/6/2024,4.3945
12/5/2024,4.4273
12/4/2024,4.4329
12/3/2024,4.4469
12/2/2024,4.4512
11/29/2024,4.467
11/28/2024,4.4746
11/27/2024,4.4695
11/26/2024,4.4832
11/25/2024,4.5146
11/22/2024,4.52485
11/21/2024,4.5195
11/20/2024,4.52545
11/19/2024,4.52
11/18/2024,4.521
11/15/2024,4.5215
11/14/2024,4.521
11/13/2024,4.48645
11/12/2024,4.5293
11/11/2024,4.5265
11/8/2024,4.5225
11/7/2024,4.5092
11/6/2024,4.5245
11/5/2024,4.5248
11/4/2024,4.5273
11/1/2024,4.536
10/31/2024,4.5554
10/30/2024,4.57175
10/29/2024,4.5759
10/28/2024,4.5933
10/25/2024,4.5939
10/24/2024,4.60788
10/23/2024,4.6288
10/22/2024,4.62963
10/21/2024,4.646
10/18/2024,4.62455
10/17/2024,4.6401
10/16/2024,4.63
10/15/2024,4.6325
10/14/2024,4.65525
10/11/2024,4.6473
10/10/2024,4.65554
10/9/2024,4.67545
10/8/2024,4.6703
10/7/2024,4.6788
10/4/2024,4.6488
10/3/2024,4.5936
10/2/2024,4.60495
10/1/2024,4.6156
9/30/2024,4.6284
9/27/2024,4.5935
9/26/2024,4.6155
9/25/2024,4.6255
9/24/2024,4.6382
9/23/2024,4.65575
9/20/2024,4.669
9/19/2024,4.6913
9/18/2024,4.7255
9/17/2024,4.8226
9/16/2024,4.81525
9/13/2024,4.8803
9/12/2024,4.906
9/11/2024,4.9805
9/10/2024,4.9382
9/9/2024,4.95166
9/6/2024,4.9582
9/5/2024,4.9483
9/4/2024,4.96163
9/3/2024,4.99487
8/30/2024,5.01405
8/29/2024,5.02738
8/28/2024,5.0449
8/27/2024,5.0556
8/26/2024,5.0683
8/23/2024,5.0625
8/22/2024,5.0924
8/21/2024,5.0766
8/20/2024,5.10355
8/19/2024,5.1295
8/16/2024,5.1257
8/15/2024,5.13725
8/14/2024,5.1243
8/13/2024,5.111
8/12/2024,5.1277
8/9/2024,5.13455
8/8/2024,5.1285
8/7/2024,5.1017
8/6/2024,5.125
8/5/2024,5.0918
8/2/2024,5.1325
8/1/2024,5.2064
7/31/2024,5.2441
7/30/2024,5.2442
7/29/2024,5.252
7/26/2024,5.251
7/25/2024,5.26
7/24/2024,5.2658
7/23/2024,5.2822
7/22/2024,5.286
7/19/2024,5.28375
7/18/2024,5.2852
7/17/2024,5.2891
7/16/2024,5.2826
7/15/2024,5.28285
7/12/2024,5.28735
7/11/2024,5.28337
7/10/2024,5.3045
7/9/2024,5.3085
7/8/2024,5.30515
7/5/2024,5.3027
7/4/2024,5.3075
7/3/2024,5.3075
7/2/2024,5.31635
7/1/2024,5.3226
6/28/2024,5.3219
6/27/2024,5.3241
6/26/2024,5.33209
6/25/2024,5.3369
6/24/2024,5.3391
6/21/2024,5.342
6/20/2024,5.3455
6/19/2024,5.3474
6/18/2024,5.3466
6/17/2024,5.35615
6/14/2024,5.3495
6/13/2024,5.3442
6/12/2024,5.3477
6/11/2024,5.3451
6/10/2024,5.3462
6/7/2024,5.3465
6/6/2024,5.3295
6/5/2024,5.3354
6/4/2024,5.33755
6/3/2024,5.33845
5/31/2024,5.33995
5/30/2024,5.3416
5/29/2024,5.3447
5/28/2024,5.347
5/24/2024,5.343
5/23/2024,5.3451
5/22/2024,5.33715
5/21/2024,5.3322
5/20/2024,5.33085
5/17/2024,5.327
5/16/2024,5.3254
5/15/2024,5.325
5/14/2024,5.3269
5/13/2024,5.3301
5/10/2024,5.3263
5/9/2024,5.3235
5/8/2024,5.32565
5/7/2024,5.327
5/6/2024,5.3255
5/3/2024,5.323
5/2/2024,5.3275
5/1/2024,5.3367
4/30/2024,5.3373
