Security,USSW10 BGN Curncy
Start Date,9/30/2009 0:00
End Date,6/30/2023 0:00
Period,D
Pricing Source,
,
Date,PX_LAST
6/30/2023,3.8605
6/29/2023,3.856
6/28/2023,3.735
6/27/2023,3.7933
6/26/2023,3.758
6/23/2023,3.765
6/22/2023,3.816
6/21/2023,3.747
6/20/2023,3.7512
6/19/2023,3.7925
6/16/2023,3.7925
6/15/2023,3.7498
6/14/2023,3.81
6/13/2023,3.8313
6/12/2023,3.754
6/9/2023,3.7675
6/8/2023,3.7445
6/7/2023,3.8142
6/6/2023,3.6875
6/5/2023,3.7197
6/2/2023,3.7476
6/1/2023,3.631
5/31/2023,3.6765
5/30/2023,3.7185
5/26/2023,3.8334
5/25/2023,3.8452
5/24/2023,3.7587
5/23/2023,3.7113
5/22/2023,3.7282
5/19/2023,3.6829
5/18/2023,3.6481
5/17/2023,3.5584
5/16/2023,3.5315
5/15/2023,3.4986
5/12/2023,3.469
5/11/2023,3.3928
5/10/2023,3.4536
5/9/2023,3.5299
5/8/2023,3.5243
5/5/2023,3.4657
5/4/2023,3.408
5/3/2023,3.384
5/2/2023,3.4586
5/1/2023,3.5992
4/28/2023,3.4368
4/27/2023,3.5222
4/26/2023,3.4542
4/25/2023,3.4003
4/24/2023,3.4935
4/21/2023,3.5738
4/20/2023,3.5293
4/19/2023,3.5882
4/18/2023,3.5835
4/17/2023,3.5961
4/14/2023,3.5045
4/13/2023,3.4369
4/12/2023,3.3849
4/11/2023,3.43
4/10/2023,3.4258
4/7/2023,3.408
4/6/2023,3.3112
4/5/2023,3.3131
4/4/2023,3.3362
4/3/2023,3.4095
3/31/2023,3.4637
3/30/2023,3.5519
3/29/2023,3.5702
3/28/2023,3.5626
3/27/2023,3.5283
3/24/2023,3.375
3/23/2023,3.4299
3/22/2023,3.4673
3/21/2023,3.6439
3/20/2023,3.5117
3/17/2023,3.4665
3/16/2023,3.6281
3/15/2023,3.5239
3/14/2023,3.7372
3/13/2023,3.5868
3/10/2023,3.6878
3/9/2023,3.9062
3/8/2023,3.9975
3/7/2023,3.9707
3/6/2023,3.9682
3/3/2023,3.9759
3/2/2023,4.0744
3/1/2023,4.0104
2/28/2023,3.9336
2/27/2023,3.9255
2/24/2023,3.9558
2/23/2023,3.8802
2/22/2023,3.9252
2/21/2023,3.9553
2/17/2023,3.8181
2/16/2023,3.8615
2/15/2023,3.7995
2/14/2023,3.7385
2/13/2023,3.6904
2/10/2023,3.7199
2/9/2023,3.6457
2/8/2023,3.5904
2/7/2023,3.6557
2/6/2023,3.621
2/3/2023,3.522
2/2/2023,3.3914
2/1/2023,3.4119
1/31/2023,3.4876
1/30/2023,3.5231
1/27/2023,3.4875
1/26/2023,3.4786
1/25/2023,3.4169
1/24/2023,3.4188
1/23/2023,3.4774
1/20/2023,3.4435
1/19/2023,3.3572
1/18/2023,3.3467
1/17/2023,3.5137
1/13/2023,3.4708
1/12/2023,3.4135
1/11/2023,3.4975
1/10/2023,3.5625
1/9/2023,3.477
1/6/2023,3.5002
1/5/2023,3.6685
1/4/2023,3.6367
1/3/2023,3.6795
12/30/2022,3.8375
12/29/2022,3.7838
12/28/2022,3.848
12/27/2022,3.7922
12/23/2022,3.7187
12/22/2022,3.6537
12/21/2022,3.6303
12/20/2022,3.6343
12/19/2022,3.556
12/16/2022,3.472
12/15/2022,3.4383
12/14/2022,3.4635
12/13/2022,3.489
12/12/2022,3.5942
12/9/2022,3.5689
12/8/2022,3.4595
12/7/2022,3.393
12/6/2022,3.4935
12/5/2022,3.5448
12/2/2022,3.4495
12/1/2022,3.4658
11/30/2022,3.5663
11/29/2022,3.7118
11/28/2022,3.6555
11/25/2022,3.662
11/24/2022,3.67
11/23/2022,3.6685
11/22/2022,3.7233
11/21/2022,3.8217
11/18/2022,3.8152
11/17/2022,3.7478
11/16/2022,3.6567
11/15/2022,3.7588
11/14/2022,3.8473
11/11/2022,3.8205
11/10/2022,3.8202
11/9/2022,4.0958
11/8/2022,4.1367
11/7/2022,4.231
11/4/2022,4.2012
11/3/2022,4.193
11/2/2022,4.162
11/1/2022,4.1006
10/31/2022,4.0918
10/28/2022,4.0505
10/27/2022,3.9346
10/26/2022,4.0214
10/25/2022,4.131
10/24/2022,4.2546
10/21/2022,4.2304
10/20/2022,4.2506
10/19/2022,4.1357
10/18/2022,4.0004
10/17/2022,4.0067
10/14/2022,4.0214
10/13/2022,3.9464
10/12/2022,3.9221
10/11/2022,3.9622
10/7/2022,3.8966
10/6/2022,3.846
10/5/2022,3.7913
10/4/2022,3.6381
10/3/2022,3.6752
9/30/2022,3.877
9/29/2022,3.8437
9/28/2022,3.7746
9/27/2022,3.9295
9/26/2022,3.9416
9/23/2022,3.734
9/22/2022,3.7666
9/21/2022,3.6004
9/20/2022,3.6318
9/19/2022,3.5638
9/16/2022,3.5245
9/15/2022,3.5256
9/14/2022,3.479
9/13/2022,3.4722
9/12/2022,3.4287
9/9/2022,3.3887
9/8/2022,3.3941
9/7/2022,3.3444
9/6/2022,3.4307
9/2/2022,3.2878
9/1/2022,3.3483
8/31/2022,3.2804
8/30/2022,3.1991
8/29/2022,3.1929
8/26/2022,3.1258
8/25/2022,3.113
8/24/2022,3.1919
8/23/2022,3.1308
8/22/2022,3.0817
8/19/2022,3.0294
8/18/2022,2.9304
8/17/2022,2.9533
8/16/2022,2.845
8/15/2022,2.8305
8/12/2022,2.8832
8/11/2022,2.9414
8/10/2022,2.8312
8/9/2022,2.8326
8/8/2022,2.8164
8/5/2022,2.8913
8/4/2022,2.7571
8/3/2022,2.7786
8/2/2022,2.8245
8/1/2022,2.6391
7/29/2022,2.7256
7/28/2022,2.7547
7/27/2022,2.8672
7/26/2022,2.8865
7/25/2022,2.8741
7/22/2022,2.8254
7/21/2022,2.9534
7/20/2022,3.0983
7/19/2022,3.0885
7/18/2022,3.0546
7/15/2022,2.9918
7/14/2022,3.0411
7/13/2022,3.0125
7/12/2022,3.0492
7/11/2022,3.0763
7/8/2022,3.1727
7/7/2022,3.0867
7/6/2022,3.0131
7/5/2022,2.8855
7/1/2022,2.9634
6/30/2022,3.0938
6/29/2022,3.1729
6/28/2022,3.2495
6/27/2022,3.2747
6/24/2022,3.2163
6/23/2022,3.1653
6/22/2022,3.2343
6/21/2022,3.3476
6/17/2022,3.2906
6/16/2022,3.2432
6/15/2022,3.3459
6/14/2022,3.542
6/13/2022,3.4356
6/10/2022,3.2215
6/9/2022,3.1139
6/8/2022,3.0949
6/7/2022,3.0567
6/6/2022,3.1296
6/3/2022,3.0175
6/2/2022,2.9894
6/1/2022,2.98
5/31/2022,2.93
5/27/2022,2.8182
5/26/2022,2.8247
5/25/2022,2.8142
5/24/2022,2.8085
5/23/2022,2.9025
5/20/2022,2.8425
5/19/2022,2.9077
5/18/2022,2.9535
5/17/2022,3.0542
5/16/2022,2.9551
5/13/2022,2.998
5/12/2022,2.9403
5/11/2022,2.9963
5/10/2022,3.0545
5/9/2022,3.0885
5/6/2022,3.195
5/5/2022,3.1077
5/4/2022,3.0265
5/3/2022,3.052
5/2/2022,3.0649
4/29/2022,3.0237
4/28/2022,2.9173
4/27/2022,2.9048
4/26/2022,2.7845
4/25/2022,2.8719
4/22/2022,2.9518
4/21/2022,2.9611
4/20/2022,2.8849
4/19/2022,3.0019
4/18/2022,2.9015
4/15/2022,2.8757
4/14/2022,2.8788
4/13/2022,2.7522
4/12/2022,2.7725
4/11/2022,2.8472
4/8/2022,2.758
4/7/2022,2.6971
4/6/2022,2.6428
4/5/2022,2.5918
4/4/2022,2.4435
4/1/2022,2.4485
3/31/2022,2.4065
3/30/2022,2.4234
3/29/2022,2.4794
3/28/2022,2.5473
3/25/2022,2.5571
3/24/2022,2.4566
3/23/2022,2.371
3/22/2022,2.4721
3/21/2022,2.3968
3/18/2022,2.2629
3/17/2022,2.2766
3/16/2022,2.3022
3/15/2022,2.2418
3/14/2022,2.224
3/11/2022,2.0802
3/10/2022,2.0752
3/9/2022,2.0423
3/8/2022,1.929
3/7/2022,1.8562
3/4/2022,1.8175
3/3/2022,1.9334
3/2/2022,1.9646
3/1/2022,1.8031
2/28/2022,1.9162
2/25/2022,2.048
2/24/2022,2.0535
